"vehicle","chunk","direction","fraction","start_datetime","transactions","group"
"1675TH",683,0,0.419525325172209,2018-08-09 05:36:30,9,"53A-1675TH-23"
"1675TH",684,0,0.46842518672297,2018-08-09 05:37:56,0,"53A-1675TH-23"
"1675TH",685,0,0.49080474825121,2018-08-09 05:38:45,0,"53A-1675TH-23"
"1675TH",686,0,0.505955643506436,2018-08-09 05:39:04,0,"53A-1675TH-23"
"1675TH",687,0,0.533187881045543,2018-08-09 05:40:15,0,"53A-1675TH-23"
"1675TH",688,0,0.584801297549189,2018-08-09 05:41:26,0,"53A-1675TH-23"
"1675TH",689,0,0.624291894632294,2018-08-09 05:42:43,1,"53A-1675TH-23"
"1675TH",690,0,0.662185613658879,2018-08-09 05:44:06,1,"53A-1675TH-23"
"1680TH",699,0,0,2018-08-09 05:44:42,0,"53A-1680TH-25"
"1675TH",691,0,0.72450095762779,2018-08-09 05:46:10,1,"53A-1675TH-23"
"1675TH",692,0,0.756451241285734,2018-08-09 05:47:08,0,"53A-1675TH-23"
"1675TH",693,0,0.788738905316075,2018-08-09 05:48:31,0,"53A-1675TH-23"
"1675TH",694,0,0.828473509197723,2018-08-09 05:49:01,0,"53A-1675TH-23"
"1675TH",695,0,0.855617245750311,2018-08-09 05:50:39,0,"53A-1675TH-23"
"1675TH",696,0,0.901893539482529,2018-08-09 05:52:14,1,"53A-1675TH-23"
"1680TH",700,0,0.0277933531603601,2018-08-09 05:54:47,10,"53A-1680TH-25"
"1675TH",697,0,0.946294086999221,2018-08-09 05:55:00,9,"53A-1675TH-23"
"1679TH",668,0,0,2018-08-09 05:55:32,0,"53A-1679TH-24"
"1680TH",701,0,0.0478655626924459,2018-08-09 05:56:08,4,"53A-1680TH-25"
"1675TH",698,0,1,2018-08-09 05:56:56,2,"53A-1675TH-23"
"1680TH",702,0,0.0905133404024285,2018-08-09 05:57:03,0,"53A-1680TH-25"
"1680TH",703,0,0.131432738320303,2018-08-09 05:57:34,0,"53A-1680TH-25"
"1680TH",704,0,0.150345576559304,2018-08-09 05:58:47,3,"53A-1680TH-25"
"1680TH",705,0,0.180026941254668,2018-08-09 05:59:18,0,"53A-1680TH-25"
"1680TH",706,0,0.199647439157132,2018-08-09 05:59:40,0,"53A-1680TH-25"
"1680TH",707,0,0.212241876376867,2018-08-09 06:00:25,1,"53A-1680TH-25"
"1676TH",387,0,0.419525325172209,2018-08-09 06:00:55,5,"53A-1676TH-13"
"1680TH",708,0,0.247936630804854,2018-08-09 06:01:53,2,"53A-1680TH-25"
"1676TH",388,0,0.46842518672297,2018-08-09 06:02:17,0,"53A-1676TH-13"
"1676TH",389,0,0.49080474825121,2018-08-09 06:02:43,0,"53A-1676TH-13"
"1676TH",390,0,0.505955643506436,2018-08-09 06:03:03,0,"53A-1676TH-13"
"1680TH",709,0,0.27568910775833,2018-08-09 06:03:38,1,"53A-1680TH-25"
"1676TH",391,0,0.533187881045543,2018-08-09 06:04:07,1,"53A-1676TH-13"
"1680TH",710,0,0.303546717999246,2018-08-09 06:04:43,1,"53A-1680TH-25"
"1680TH",711,0,0.330339619731935,2018-08-09 06:06:03,0,"53A-1680TH-25"
"1679TH",669,0,0.0277933531603601,2018-08-09 06:06:12,0,"53A-1679TH-24"
"1680TH",712,0,0.353042026482814,2018-08-09 06:06:25,0,"53A-1680TH-25"
"1679TH",670,0,0.0478655626924459,2018-08-09 06:06:35,0,"53A-1679TH-24"
"1676TH",392,0,0.584801297549189,2018-08-09 06:06:39,1,"53A-1676TH-13"
"1679TH",671,0,0.0905133404024285,2018-08-09 06:07:30,0,"53A-1679TH-24"
"1680TH",713,0,0.382218362558675,2018-08-09 06:07:31,1,"53A-1680TH-25"
"1679TH",672,0,0.131432738320303,2018-08-09 06:08:16,1,"53A-1679TH-24"
"1676TH",393,0,0.624291894632294,2018-08-09 06:08:18,0,"53A-1676TH-13"
"1679TH",673,0,0.150345576559304,2018-08-09 06:08:45,0,"53A-1679TH-24"
"1680TH",714,0,0.419525325172209,2018-08-09 06:08:53,0,"53A-1680TH-25"
"1679TH",674,0,0.180026941254668,2018-08-09 06:09:13,0,"53A-1679TH-24"
"1679TH",675,0,0.199647439157132,2018-08-09 06:09:34,0,"53A-1679TH-24"
"1676TH",394,0,0.662185613658879,2018-08-09 06:09:44,0,"53A-1676TH-13"
"1680TH",715,0,0.46842518672297,2018-08-09 06:10:29,0,"53A-1680TH-25"
"1679TH",676,0,0.212241876376867,2018-08-09 06:10:39,6,"53A-1679TH-24"
"1680TH",716,0,0.49080474825121,2018-08-09 06:10:54,0,"53A-1680TH-25"
"1680TH",717,0,0.505955643506436,2018-08-09 06:11:13,0,"53A-1680TH-25"
"1676TH",395,0,0.72450095762779,2018-08-09 06:11:44,1,"53A-1676TH-13"
"1679TH",677,0,0.247936630804854,2018-08-09 06:12:13,3,"53A-1679TH-24"
"1680TH",718,0,0.533187881045543,2018-08-09 06:12:22,1,"53A-1680TH-25"
"1676TH",396,0,0.756451241285734,2018-08-09 06:13:23,4,"53A-1676TH-13"
"1679TH",678,0,0.27568910775833,2018-08-09 06:13:43,2,"53A-1679TH-24"
"1685TH",721,0,0,2018-08-09 06:13:57,0,"53A-1685TH-26"
"1680TH",719,0,0.584801297549189,2018-08-09 06:14:35,0,"53A-1680TH-25"
"1676TH",397,0,0.788738905316075,2018-08-09 06:14:40,2,"53A-1676TH-13"
"1679TH",679,0,0.303546717999246,2018-08-09 06:14:43,1,"53A-1679TH-24"
"1676TH",398,0,0.828473509197723,2018-08-09 06:15:20,0,"53A-1676TH-13"
"1679TH",680,0,0.330339619731935,2018-08-09 06:15:55,1,"53A-1679TH-24"
"1680TH",720,0,0.624291894632294,2018-08-09 06:15:58,0,"53A-1680TH-25"
"1676TH",399,0,0.855617245750311,2018-08-09 06:16:04,1,"53A-1676TH-13"
"1679TH",681,0,0.353042026482814,2018-08-09 06:16:46,0,"53A-1679TH-24"
"1676TH",400,0,0.901893539482529,2018-08-09 06:17:09,1,"53A-1676TH-13"
"1680TH",721,0,0.662185613658879,2018-08-09 06:17:42,0,"53A-1680TH-25"
"1679TH",682,0,0.382218362558675,2018-08-09 06:18:10,0,"53A-1679TH-24"
"1685TH",722,0,0.0277933531603601,2018-08-09 06:18:11,0,"53A-1685TH-26"
"1685TH",723,0,0.0478655626924459,2018-08-09 06:19:04,3,"53A-1685TH-26"
"1676TH",401,0,0.946294086999221,2018-08-09 06:19:16,7,"53A-1676TH-13"
"1685TH",724,0,0.0905133404024285,2018-08-09 06:19:48,0,"53A-1685TH-26"
"1679TH",683,0,0.419525325172209,2018-08-09 06:19:56,1,"53A-1679TH-24"
"1680TH",722,0,0.72450095762779,2018-08-09 06:20:18,0,"53A-1680TH-25"
"1685TH",725,0,0.131432738320303,2018-08-09 06:20:36,0,"53A-1685TH-26"
"1676TH",402,0,1,2018-08-09 06:20:57,2,"53A-1676TH-13"
"1685TH",726,0,0.150345576559304,2018-08-09 06:21:19,0,"53A-1685TH-26"
"1680TH",723,0,0.756451241285734,2018-08-09 06:21:37,3,"53A-1680TH-25"
"1679TH",684,0,0.46842518672297,2018-08-09 06:22:07,0,"53A-1679TH-24"
"1685TH",727,0,0.180026941254668,2018-08-09 06:22:42,0,"53A-1685TH-26"
"1680TH",724,0,0.788738905316075,2018-08-09 06:23:00,2,"53A-1680TH-25"
"1679TH",685,0,0.49080474825121,2018-08-09 06:23:03,1,"53A-1679TH-24"
"1685TH",728,0,0.199647439157132,2018-08-09 06:23:13,0,"53A-1685TH-26"
"1680TH",725,0,0.828473509197723,2018-08-09 06:23:22,0,"53A-1680TH-25"
"1679TH",686,0,0.505955643506436,2018-08-09 06:23:23,0,"53A-1679TH-24"
"1688TH",1326,0,0,2018-08-09 06:23:34,0,"53A-1688TH-49"
"1685TH",729,0,0.212241876376867,2018-08-09 06:24:08,1,"53A-1685TH-26"
"1679TH",687,0,0.533187881045543,2018-08-09 06:24:29,0,"53A-1679TH-24"
"1680TH",726,0,0.855617245750311,2018-08-09 06:24:47,0,"53A-1680TH-25"
"1679TH",688,0,0.584801297549189,2018-08-09 06:25:47,0,"53A-1679TH-24"
"1680TH",727,0,0.901893539482529,2018-08-09 06:25:59,0,"53A-1680TH-25"
"1685TH",730,0,0.247936630804854,2018-08-09 06:26:49,5,"53A-1685TH-26"
"1679TH",689,0,0.624291894632294,2018-08-09 06:26:58,0,"53A-1679TH-24"
"1680TH",728,0,0.946294086999221,2018-08-09 06:27:48,0,"53A-1680TH-25"
"1679TH",690,0,0.662185613658879,2018-08-09 06:28:24,1,"53A-1679TH-24"
"1685TH",731,0,0.27568910775833,2018-08-09 06:29:13,8,"53A-1685TH-26"
"1680TH",729,0,1,2018-08-09 06:29:20,0,"53A-1680TH-25"
"1679TH",691,0,0.72450095762779,2018-08-09 06:30:06,0,"53A-1679TH-24"
"1685TH",732,0,0.303546717999246,2018-08-09 06:30:31,1,"53A-1685TH-26"
"1688TH",1327,0,0.0277933531603601,2018-08-09 06:30:56,4,"53A-1688TH-49"
"1679TH",692,0,0.756451241285734,2018-08-09 06:31:05,0,"53A-1679TH-24"
"1688TH",1328,0,0.0478655626924459,2018-08-09 06:31:58,3,"53A-1688TH-49"
"1675TH",727,0,0,2018-08-09 06:32:00,0,"53A-1675TH-25"
"1685TH",733,0,0.330339619731935,2018-08-09 06:32:14,0,"53A-1685TH-26"
"1679TH",693,0,0.788738905316075,2018-08-09 06:32:37,1,"53A-1679TH-24"
"1685TH",734,0,0.353042026482814,2018-08-09 06:32:40,0,"53A-1685TH-26"
"1688TH",1329,0,0.0905133404024285,2018-08-09 06:32:54,0,"53A-1688TH-49"
"1679TH",694,0,0.828473509197723,2018-08-09 06:33:13,0,"53A-1679TH-24"
"1688TH",1330,0,0.131432738320303,2018-08-09 06:33:31,0,"53A-1688TH-49"
"1685TH",735,0,0.382218362558675,2018-08-09 06:33:48,0,"53A-1685TH-26"
"1679TH",695,0,0.855617245750311,2018-08-09 06:33:51,0,"53A-1679TH-24"
"1688TH",1331,0,0.150345576559304,2018-08-09 06:34:52,1,"53A-1688TH-49"
"1679TH",696,0,0.901893539482529,2018-08-09 06:35:13,0,"53A-1679TH-24"
"1685TH",736,0,0.419525325172209,2018-08-09 06:35:22,2,"53A-1685TH-26"
"1688TH",1332,0,0.180026941254668,2018-08-09 06:36:05,2,"53A-1688TH-49"
"1688TH",1333,0,0.199647439157132,2018-08-09 06:36:34,0,"53A-1688TH-49"
"1679TH",697,0,0.946294086999221,2018-08-09 06:37:27,8,"53A-1679TH-24"
"1688TH",1334,0,0.212241876376867,2018-08-09 06:37:30,0,"53A-1688TH-49"
"1685TH",737,0,0.46842518672297,2018-08-09 06:37:32,0,"53A-1685TH-26"
"1685TH",738,0,0.49080474825121,2018-08-09 06:39:14,0,"53A-1685TH-26"
"1685TH",739,0,0.505955643506436,2018-08-09 06:39:37,0,"53A-1685TH-26"
"1679TH",698,0,1,2018-08-09 06:39:43,3,"53A-1679TH-24"
