"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"1681TH",683,1,1587,0.534583261507753,2018-08-10 05:29:41,8,"53A-1681TH-24"
"1681TH",684,1,1588,0.57865475030388,2018-08-10 05:32:12,0,"53A-1681TH-24"
"1681TH",685,1,1589,0.613988444807691,2018-08-10 05:33:18,0,"53A-1681TH-24"
"1681TH",686,1,1590,0.646653658211705,2018-08-10 05:34:24,0,"53A-1681TH-24"
"1688TH",1993,0,1559,0.419525325172209,2018-08-10 05:34:38,5,"53A-1688TH-71"
"1681TH",687,1,1591,0.661363354605513,2018-08-10 05:35:52,0,"53A-1681TH-24"
"1688TH",1994,0,1560,0.46842518672297,2018-08-10 05:36:31,1,"53A-1688TH-71"
"1681TH",688,1,1592,0.697055739667531,2018-08-10 05:36:48,0,"53A-1681TH-24"
"1688TH",1995,0,1561,0.49080474825121,2018-08-10 05:37:14,0,"53A-1688TH-71"
"1681TH",689,1,1593,0.716932743853024,2018-08-10 05:37:34,0,"53A-1681TH-24"
"1688TH",1996,0,1562,0.505955643506436,2018-08-10 05:37:58,0,"53A-1688TH-71"
"1681TH",690,1,1594,0.750429629879542,2018-08-10 05:38:28,0,"53A-1681TH-24"
"1688TH",1997,0,1563,0.533187881045543,2018-08-10 05:39:32,0,"53A-1688TH-71"
"1688TH",1998,0,1564,0.584801297549189,2018-08-10 05:41:32,0,"53A-1688TH-71"
"1681TH",691,1,1595,0.792227277456999,2018-08-10 05:41:49,0,"53A-1681TH-24"
"1681TH",692,1,1596,0.822417377167311,2018-08-10 05:42:26,0,"53A-1681TH-24"
"1681TH",693,1,1597,0.836692075737392,2018-08-10 05:42:50,0,"53A-1681TH-24"
"1688TH",1999,0,1565,0.624291894632294,2018-08-10 05:43:31,0,"53A-1688TH-71"
"1681TH",694,1,1598,0.867426389970994,2018-08-10 05:43:43,0,"53A-1681TH-24"
"1681TH",695,1,1599,0.916393109498252,2018-08-10 05:44:46,0,"53A-1681TH-24"
"1681TH",696,1,1600,0.951166113588496,2018-08-10 05:45:26,0,"53A-1681TH-24"
"1688TH",2000,0,1566,0.662185613658879,2018-08-10 05:45:32,0,"53A-1688TH-71"
"1681TH",697,1,1601,0.976064509746199,2018-08-10 05:45:55,0,"53A-1681TH-24"
"1681TH",698,1,1602,0.9997526715405,2018-08-10 05:46:07,0,"53A-1681TH-24"
"1681TH",699,0,1544,0,2018-08-10 05:46:11,0,"53A-1681TH-25"
"1688TH",2001,0,1567,0.72450095762779,2018-08-10 05:47:46,0,"53A-1688TH-71"
"1688TH",2002,0,1568,0.756451241285734,2018-08-10 05:49:11,1,"53A-1688TH-71"
"1688TH",2003,0,1569,0.788738905316075,2018-08-10 05:50:07,0,"53A-1688TH-71"
"1688TH",2004,0,1570,0.828473509197723,2018-08-10 05:50:53,0,"53A-1688TH-71"
"1688TH",2005,0,1571,0.855617245750311,2018-08-10 05:51:46,0,"53A-1688TH-71"
"1688TH",2006,0,1572,0.901893539482529,2018-08-10 05:52:59,0,"53A-1688TH-71"
"1681TH",700,0,1545,0.0277933531603601,2018-08-10 05:55:12,13,"53A-1681TH-25"
"1688TH",2007,0,1573,0.946294086999221,2018-08-10 05:55:29,5,"53A-1688TH-71"
"1681TH",701,0,1546,0.0478655626924459,2018-08-10 05:56:07,2,"53A-1681TH-25"
"1681TH",702,0,1547,0.0905133404024285,2018-08-10 05:57:14,1,"53A-1681TH-25"
"1688TH",2008,0,1574,1,2018-08-10 05:57:35,2,"53A-1688TH-71"
"1688TH",2009,1,1575,5.32803888024437e-05,2018-08-10 05:57:42,0,"53A-1688TH-72"
"1681TH",703,0,1548,0.131432738320303,2018-08-10 05:57:47,0,"53A-1681TH-25"
"1679TH",1335,1,1587,0.534583261507753,2018-08-10 05:58:22,5,"53A-1679TH-47"
"1688TH",2010,1,1576,0.0221420594216054,2018-08-10 05:58:35,0,"53A-1688TH-72"
"1681TH",704,0,1549,0.150345576559304,2018-08-10 05:58:52,2,"53A-1681TH-25"
"1681TH",705,0,1550,0.180026941254668,2018-08-10 05:59:19,0,"53A-1681TH-25"
"1681TH",706,0,1551,0.199647439157132,2018-08-10 05:59:41,0,"53A-1681TH-25"
"1682TH",0,0,1559,0.419525325172209,2018-08-10 05:59:49,5,"53A-1682TH-0"
"1679TH",1336,1,1588,0.57865475030388,2018-08-10 06:00:06,2,"53A-1679TH-47"
"1688TH",2011,1,1577,0.0664029968752921,2018-08-10 06:00:43,2,"53A-1688TH-72"
"1682TH",1,0,1560,0.46842518672297,2018-08-10 06:00:45,0,"53A-1682TH-0"
"1681TH",707,0,1552,0.212241876376867,2018-08-10 06:01:02,2,"53A-1681TH-25"
"1688TH",2012,1,1578,0.0811152646094905,2018-08-10 06:01:21,0,"53A-1688TH-72"
"1679TH",1337,1,1589,0.613988444807691,2018-08-10 06:01:33,1,"53A-1679TH-47"
"1682TH",2,0,1561,0.49080474825121,2018-08-10 06:01:39,0,"53A-1682TH-0"
"1679TH",1338,1,1590,0.646653658211705,2018-08-10 06:02:36,0,"53A-1679TH-47"
"1681TH",708,0,1553,0.247936630804854,2018-08-10 06:02:36,3,"53A-1681TH-25"
"1682TH",3,0,1562,0.505955643506436,2018-08-10 06:03:03,0,"53A-1682TH-0"
"1688TH",2013,1,1579,0.150240555655508,2018-08-10 06:03:10,0,"53A-1688TH-72"
"1679TH",1339,1,1591,0.661363354605513,2018-08-10 06:03:43,0,"53A-1679TH-47"
"1681TH",709,0,1554,0.27568910775833,2018-08-10 06:03:55,0,"53A-1681TH-25"
"1682TH",4,0,1563,0.533187881045543,2018-08-10 06:04:13,1,"53A-1682TH-0"
"1688TH",2014,1,1580,0.191425924560063,2018-08-10 06:04:28,0,"53A-1688TH-72"
"1679TH",1340,1,1592,0.697055739667531,2018-08-10 06:05:09,0,"53A-1679TH-47"
"1681TH",710,0,1555,0.303546717999246,2018-08-10 06:05:23,1,"53A-1681TH-25"
"1679TH",1341,1,1593,0.716932743853024,2018-08-10 06:06:16,0,"53A-1679TH-47"
"1682TH",5,0,1564,0.584801297549189,2018-08-10 06:06:39,1,"53A-1682TH-0"
"1688TH",2015,1,1581,0.247786401684175,2018-08-10 06:06:46,4,"53A-1688TH-72"
"1681TH",711,0,1556,0.330339619731935,2018-08-10 06:06:47,0,"53A-1681TH-25"
"1679TH",1342,1,1594,0.750429629879542,2018-08-10 06:07:36,0,"53A-1679TH-47"
"1688TH",2016,1,1582,0.302235966063294,2018-08-10 06:08:08,0,"53A-1688TH-72"
"1681TH",712,0,1557,0.353042026482814,2018-08-10 06:08:10,1,"53A-1681TH-25"
"1682TH",6,0,1565,0.624291894632294,2018-08-10 06:08:14,0,"53A-1682TH-0"
"1679TH",1343,1,1595,0.792227277456999,2018-08-10 06:09:27,0,"53A-1679TH-47"
"1681TH",713,0,1558,0.382218362558675,2018-08-10 06:09:30,0,"53A-1681TH-25"
"1679TH",1344,1,1596,0.822417377167311,2018-08-10 06:09:58,0,"53A-1679TH-47"
"1688TH",2017,1,1583,0.350185781824501,2018-08-10 06:10:01,1,"53A-1688TH-72"
"1682TH",7,0,1566,0.662185613658879,2018-08-10 06:10:07,0,"53A-1682TH-0"
"1679TH",1345,1,1597,0.836692075737392,2018-08-10 06:10:13,0,"53A-1679TH-47"
"1679TH",1346,1,1598,0.867426389970994,2018-08-10 06:11:22,0,"53A-1679TH-47"
"1681TH",714,0,1559,0.419525325172209,2018-08-10 06:11:25,1,"53A-1681TH-25"
"1688TH",2018,1,1584,0.41210124043762,2018-08-10 06:11:42,0,"53A-1688TH-72"
"1679TH",1347,1,1599,0.916393109498252,2018-08-10 06:12:22,0,"53A-1679TH-47"
"1682TH",8,0,1567,0.72450095762779,2018-08-10 06:12:32,1,"53A-1682TH-0"
"1681TH",715,0,1560,0.46842518672297,2018-08-10 06:12:47,0,"53A-1681TH-25"
"1679TH",1348,1,1600,0.951166113588496,2018-08-10 06:13:00,0,"53A-1679TH-47"
"1679TH",1349,1,1601,0.976064509746199,2018-08-10 06:13:22,0,"53A-1679TH-47"
"1679TH",1350,1,1602,0.9997526715405,2018-08-10 06:13:35,0,"53A-1679TH-47"
"1679TH",1351,0,1544,0,2018-08-10 06:13:39,0,"53A-1679TH-48"
"1681TH",716,0,1561,0.49080474825121,2018-08-10 06:13:49,1,"53A-1681TH-25"
"1682TH",9,0,1568,0.756451241285734,2018-08-10 06:14:17,6,"53A-1682TH-0"
"1688TH",2019,1,1585,0.457565857835098,2018-08-10 06:14:20,0,"53A-1688TH-72"
"1681TH",717,0,1562,0.505955643506436,2018-08-10 06:14:33,0,"53A-1681TH-25"
"1681TH",718,0,1563,0.533187881045543,2018-08-10 06:15:28,0,"53A-1681TH-25"
"1682TH",10,0,1569,0.788738905316075,2018-08-10 06:15:50,1,"53A-1682TH-0"
"1682TH",11,0,1570,0.828473509197723,2018-08-10 06:16:20,0,"53A-1682TH-0"
"1682TH",12,0,1571,0.855617245750311,2018-08-10 06:17:09,1,"53A-1682TH-0"
"1681TH",719,0,1564,0.584801297549189,2018-08-10 06:17:29,0,"53A-1681TH-25"
"1688TH",2020,1,1586,0.512098949695758,2018-08-10 06:17:35,1,"53A-1688TH-72"
"1682TH",13,0,1572,0.901893539482529,2018-08-10 06:18:07,0,"53A-1682TH-0"
"1688TH",2021,1,1587,0.534583261507753,2018-08-10 06:19:05,0,"53A-1688TH-72"
