"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"082",0,0,158,0.853304029423347,2018-11-10 08:01:44,24,"12-082-0"
"082",1,0,159,1,2018-11-10 08:02:17,0,"12-082-0"
"082",2,1,160,0.000677518435978624,2018-11-10 08:02:42,0,"12-082-1"
"082",3,1,161,0.136848160347602,2018-11-10 08:05:02,0,"12-082-1"
"082",4,1,162,0.19299211015708,2018-11-10 08:07:08,2,"12-082-1"
"082",5,1,163,0.303039839244284,2018-11-10 08:08:43,1,"12-082-1"
"082",6,1,164,0.391269053791425,2018-11-10 08:10:03,0,"12-082-1"
"082",7,1,165,0.472834997068035,2018-11-10 08:11:23,1,"12-082-1"
"082",8,1,166,0.509565516683319,2018-11-10 08:12:35,2,"12-082-1"
"082",9,1,167,0.598690391496404,2018-11-10 08:13:40,1,"12-082-1"
"082",10,1,168,0.648323821893758,2018-11-10 08:15:21,0,"12-082-1"
"082",11,1,169,0.73196647476087,2018-11-10 08:16:30,0,"12-082-1"
"082",12,1,170,0.836336359299254,2018-11-10 08:18:11,0,"12-082-1"
"082",13,1,171,0.911721875078066,2018-11-10 08:19:06,0,"12-082-1"
"082",14,1,172,1,2018-11-10 08:25:06,0,"12-082-1"
"082",15,0,146,0.00133849943936237,2018-11-10 08:25:39,0,"12-082-2"
"082",16,0,147,0.0752127784561694,2018-11-10 08:28:06,3,"12-082-2"
"082",17,0,148,0.12404645410996,2018-11-10 08:28:46,0,"12-082-2"
"082",18,0,149,0.15539288911319,2018-11-10 08:29:20,1,"12-082-2"
"2250",0,0,158,0.853304029423347,2018-11-10 08:29:32,19,"12-2250-0"
"2250",1,0,159,1,2018-11-10 08:30:13,0,"12-2250-0"
"2250",2,1,160,0.000677518435978624,2018-11-10 08:30:36,0,"12-2250-1"
"082",19,0,150,0.244233960779325,2018-11-10 08:30:45,0,"12-082-2"
"2250",3,1,161,0.136848160347602,2018-11-10 08:33:02,0,"12-2250-1"
"082",20,0,151,0.313307409622087,2018-11-10 08:33:14,8,"12-082-2"
"082",21,0,152,0.382642525874351,2018-11-10 08:34:34,2,"12-082-2"
"2250",4,1,162,0.19299211015708,2018-11-10 08:34:54,1,"12-2250-1"
"2250",5,1,163,0.303039839244284,2018-11-10 08:36:23,1,"12-2250-1"
"082",22,0,153,0.449327677267666,2018-11-10 08:36:24,2,"12-082-2"
"082",23,0,154,0.505831950163495,2018-11-10 08:37:14,3,"12-082-2"
"082",24,0,155,0.578449257827012,2018-11-10 08:38:19,0,"12-082-2"
"2250",6,1,164,0.391269053791425,2018-11-10 08:38:20,1,"12-2250-1"
"2250",7,1,165,0.472834997068035,2018-11-10 08:39:34,0,"12-2250-1"
"082",25,0,156,0.671302972393994,2018-11-10 08:40:16,1,"12-082-2"
"2250",8,1,166,0.509565516683319,2018-11-10 08:40:20,0,"12-2250-1"
"082",26,0,157,0.793010382183288,2018-11-10 08:41:50,0,"12-082-2"
"2250",9,1,167,0.598690391496404,2018-11-10 08:41:52,1,"12-2250-1"
"2250",10,1,168,0.648323821893758,2018-11-10 08:42:46,0,"12-2250-1"
"082",27,0,158,0.853304029423347,2018-11-10 08:43:28,0,"12-082-2"
"2250",11,1,169,0.73196647476087,2018-11-10 08:44:18,0,"12-2250-1"
"2250",12,1,170,0.836336359299254,2018-11-10 08:45:28,2,"12-2250-1"
"082",28,0,159,1,2018-11-10 08:45:43,0,"12-082-2"
"082",29,1,160,0.000677518435978624,2018-11-10 08:46:08,0,"12-082-3"
"2250",13,1,171,0.911721875078066,2018-11-10 08:46:41,4,"12-2250-1"
"2250",14,1,172,1,2018-11-10 08:48:12,1,"12-2250-1"
"082",30,1,161,0.136848160347602,2018-11-10 08:48:17,4,"12-082-3"
"2250",15,0,146,0.00133849943936237,2018-11-10 08:48:18,0,"12-2250-2"
"082",31,1,162,0.19299211015708,2018-11-10 08:49:57,0,"12-082-3"
"082",32,1,163,0.303039839244284,2018-11-10 08:51:32,2,"12-082-3"
"082",33,1,164,0.391269053791425,2018-11-10 08:53:22,0,"12-082-3"
"082",34,1,165,0.472834997068035,2018-11-10 08:54:42,1,"12-082-3"
"2043",0,0,159,1,2018-11-10 08:54:57,23,"12-2043-0"
"2043",1,1,160,0.000677518435978624,2018-11-10 08:55:55,1,"12-2043-1"
"082",35,1,166,0.509565516683319,2018-11-10 08:56:21,1,"12-082-3"
"2250",16,0,147,0.0752127784561694,2018-11-10 08:56:35,10,"12-2250-2"
"2250",17,0,148,0.12404645410996,2018-11-10 08:57:14,2,"12-2250-2"
"082",36,1,167,0.598690391496404,2018-11-10 08:57:37,0,"12-082-3"
"2250",18,0,149,0.15539288911319,2018-11-10 08:57:39,2,"12-2250-2"
"2043",2,1,161,0.136848160347602,2018-11-10 08:58:14,0,"12-2043-1"
"082",37,1,168,0.648323821893758,2018-11-10 08:58:51,1,"12-082-3"
"2250",19,0,150,0.244233960779325,2018-11-10 08:59:13,0,"12-2250-2"
"2043",3,1,162,0.19299211015708,2018-11-10 08:59:59,2,"12-2043-1"
"082",38,1,169,0.73196647476087,2018-11-10 09:00:07,0,"12-082-3"
"2250",20,0,151,0.313307409622087,2018-11-10 09:00:24,0,"12-2250-2"
"2043",4,1,163,0.303039839244284,2018-11-10 09:01:25,0,"12-2043-1"
"082",39,1,170,0.836336359299254,2018-11-10 09:01:27,0,"12-082-3"
"2250",21,0,152,0.382642525874351,2018-11-10 09:01:59,0,"12-2250-2"
"082",40,1,171,0.911721875078066,2018-11-10 09:02:52,0,"12-082-3"
"2250",22,0,153,0.449327677267666,2018-11-10 09:03:14,0,"12-2250-2"
"082",41,1,172,1,2018-11-10 09:03:22,0,"12-082-3"
"082",42,0,146,0.00133849943936237,2018-11-10 09:03:30,0,"12-082-4"
"2043",5,1,164,0.391269053791425,2018-11-10 09:03:40,2,"12-2043-1"
"2250",23,0,154,0.505831950163495,2018-11-10 09:04:06,0,"12-2250-2"
"2250",24,0,155,0.578449257827012,2018-11-10 09:05:26,2,"12-2250-2"
"2043",6,1,165,0.472834997068035,2018-11-10 09:05:27,2,"12-2043-1"
"2043",7,1,166,0.509565516683319,2018-11-10 09:07:07,0,"12-2043-1"
"2250",25,0,156,0.671302972393994,2018-11-10 09:07:23,0,"12-2250-2"
"082",43,0,147,0.0752127784561694,2018-11-10 09:07:24,1,"12-082-4"
"2043",8,1,167,0.598690391496404,2018-11-10 09:08:21,0,"12-2043-1"
"082",44,0,148,0.12404645410996,2018-11-10 09:08:24,0,"12-082-4"
"2043",9,1,168,0.648323821893758,2018-11-10 09:09:38,0,"12-2043-1"
"082",45,0,149,0.15539288911319,2018-11-10 09:09:39,2,"12-082-4"
"2250",26,0,157,0.793010382183288,2018-11-10 09:09:54,2,"12-2250-2"
"2043",10,1,169,0.73196647476087,2018-11-10 09:10:44,2,"12-2043-1"
"2250",27,0,158,0.853304029423347,2018-11-10 09:10:59,0,"12-2250-2"
"082",46,0,150,0.244233960779325,2018-11-10 09:11:09,1,"12-082-4"
"2043",11,1,170,0.836336359299254,2018-11-10 09:12:26,1,"12-2043-1"
"082",47,0,151,0.313307409622087,2018-11-10 09:12:44,5,"12-082-4"
"2043",12,1,171,0.911721875078066,2018-11-10 09:13:05,0,"12-2043-1"
"2250",28,0,159,1,2018-11-10 09:13:32,0,"12-2250-2"
"2250",29,1,160,0.000677518435978624,2018-11-10 09:14:31,0,"12-2250-3"
"082",48,0,152,0.382642525874351,2018-11-10 09:14:39,1,"12-082-4"
"2043",13,1,172,1,2018-11-10 09:15:12,0,"12-2043-1"
"2043",14,0,146,0.00133849943936237,2018-11-10 09:15:19,0,"12-2043-2"
"082",49,0,153,0.449327677267666,2018-11-10 09:16:09,3,"12-082-4"
"2250",30,1,161,0.136848160347602,2018-11-10 09:17:09,0,"12-2250-3"
"082",50,0,154,0.505831950163495,2018-11-10 09:17:39,0,"12-082-4"
"2043",15,0,147,0.0752127784561694,2018-11-10 09:19:31,4,"12-2043-2"
"2250",31,1,162,0.19299211015708,2018-11-10 09:19:34,1,"12-2250-3"
"082",51,0,155,0.578449257827012,2018-11-10 09:19:40,2,"12-082-4"
"2043",16,0,148,0.12404645410996,2018-11-10 09:19:55,0,"12-2043-2"
"2043",17,0,149,0.15539288911319,2018-11-10 09:20:49,1,"12-2043-2"
"2250",32,1,163,0.303039839244284,2018-11-10 09:21:33,0,"12-2250-3"
"082",52,0,156,0.671302972393994,2018-11-10 09:21:51,1,"12-082-4"
"2043",18,0,150,0.244233960779325,2018-11-10 09:22:38,1,"12-2043-2"
"2250",33,1,164,0.391269053791425,2018-11-10 09:23:34,0,"12-2250-3"
"2043",19,0,151,0.313307409622087,2018-11-10 09:24:18,8,"12-2043-2"
"082",53,0,157,0.793010382183288,2018-11-10 09:24:26,0,"12-082-4"
"2250",34,1,165,0.472834997068035,2018-11-10 09:24:48,0,"12-2250-3"
"082",54,0,158,0.853304029423347,2018-11-10 09:26:00,0,"12-082-4"
"2043",20,0,152,0.382642525874351,2018-11-10 09:26:03,1,"12-2043-2"
"2250",35,1,166,0.509565516683319,2018-11-10 09:26:34,1,"12-2250-3"
"2043",21,0,153,0.449327677267666,2018-11-10 09:27:42,8,"12-2043-2"
"2250",36,1,167,0.598690391496404,2018-11-10 09:27:44,0,"12-2250-3"
"082",55,0,159,1,2018-11-10 09:28:54,0,"12-082-4"
"2043",22,0,154,0.505831950163495,2018-11-10 09:28:55,0,"12-2043-2"
"2250",37,1,168,0.648323821893758,2018-11-10 09:28:56,0,"12-2250-3"
"082",56,1,160,0.000677518435978624,2018-11-10 09:29:19,1,"12-082-5"
"2250",38,1,169,0.73196647476087,2018-11-10 09:30:00,0,"12-2250-3"
"2043",23,0,155,0.578449257827012,2018-11-10 09:30:35,1,"12-2043-2"
"082",57,1,161,0.136848160347602,2018-11-10 09:31:43,0,"12-082-5"
"2043",24,0,156,0.671302972393994,2018-11-10 09:31:47,0,"12-2043-2"
"2250",39,1,170,0.836336359299254,2018-11-10 09:31:48,0,"12-2250-3"
"2250",40,1,171,0.911721875078066,2018-11-10 09:33:19,1,"12-2250-3"
"082",58,1,162,0.19299211015708,2018-11-10 09:33:20,2,"12-082-5"
"2043",25,0,157,0.793010382183288,2018-11-10 09:33:46,0,"12-2043-2"
"2250",41,1,172,1,2018-11-10 09:34:31,0,"12-2250-3"
"2250",42,0,146,0.00133849943936237,2018-11-10 09:34:34,0,"12-2250-4"
"2043",26,0,158,0.853304029423347,2018-11-10 09:35:00,0,"12-2043-2"
"082",59,1,163,0.303039839244284,2018-11-10 09:35:00,2,"12-082-5"
"082",60,1,164,0.391269053791425,2018-11-10 09:37:37,1,"12-082-5"
"2043",27,0,159,1,2018-11-10 09:38:37,0,"12-2043-2"
"082",61,1,165,0.472834997068035,2018-11-10 09:39:24,0,"12-082-5"
"2043",28,1,160,0.000677518435978624,2018-11-10 09:39:34,0,"12-2043-3"
"082",62,1,166,0.509565516683319,2018-11-10 09:40:44,0,"12-082-5"
"2250",43,0,147,0.0752127784561694,2018-11-10 09:41:24,11,"12-2250-4"
"082",63,1,167,0.598690391496404,2018-11-10 09:41:49,0,"12-082-5"
"2250",44,0,148,0.12404645410996,2018-11-10 09:42:16,0,"12-2250-4"
"082",64,1,168,0.648323821893758,2018-11-10 09:42:44,1,"12-082-5"
"2250",45,0,149,0.15539288911319,2018-11-10 09:43:01,3,"12-2250-4"
"2043",29,1,161,0.136848160347602,2018-11-10 09:43:35,3,"12-2043-3"
"082",65,1,169,0.73196647476087,2018-11-10 09:44:04,1,"12-082-5"
"2250",46,0,150,0.244233960779325,2018-11-10 09:44:56,3,"12-2250-4"
"2043",30,1,162,0.19299211015708,2018-11-10 09:45:05,5,"12-2043-3"
"082",66,1,170,0.836336359299254,2018-11-10 09:45:50,0,"12-082-5"
"2250",47,0,151,0.313307409622087,2018-11-10 09:46:17,0,"12-2250-4"
"2043",31,1,163,0.303039839244284,2018-11-10 09:46:39,2,"12-2043-3"
"082",67,1,171,0.911721875078066,2018-11-10 09:47:00,0,"12-082-5"
"082",68,1,172,1,2018-11-10 09:47:30,0,"12-082-5"
"082",69,0,146,0.00133849943936237,2018-11-10 09:47:38,0,"12-082-6"
"2250",48,0,152,0.382642525874351,2018-11-10 09:48:53,0,"12-2250-4"
"2043",32,1,164,0.391269053791425,2018-11-10 09:49:03,0,"12-2043-3"
"2043",33,1,165,0.472834997068035,2018-11-10 09:50:21,2,"12-2043-3"
"2250",49,0,153,0.449327677267666,2018-11-10 09:50:35,0,"12-2250-4"
"2043",34,1,166,0.509565516683319,2018-11-10 09:51:20,0,"12-2043-3"
"2250",50,0,154,0.505831950163495,2018-11-10 09:51:40,0,"12-2250-4"
"2043",35,1,167,0.598690391496404,2018-11-10 09:52:29,0,"12-2043-3"
"2250",51,0,155,0.578449257827012,2018-11-10 09:52:49,2,"12-2250-4"
"2043",36,1,168,0.648323821893758,2018-11-10 09:53:43,0,"12-2043-3"
"2043",37,1,169,0.73196647476087,2018-11-10 09:55:20,0,"12-2043-3"
"2250",52,0,156,0.671302972393994,2018-11-10 09:55:29,0,"12-2250-4"
"082",70,0,147,0.0752127784561694,2018-11-10 09:56:02,0,"12-082-6"
"2043",38,1,170,0.836336359299254,2018-11-10 09:56:27,0,"12-2043-3"
"082",71,0,148,0.12404645410996,2018-11-10 09:56:53,1,"12-082-6"
"2250",53,0,157,0.793010382183288,2018-11-10 09:56:55,1,"12-2250-4"
"082",72,0,149,0.15539288911319,2018-11-10 09:57:23,1,"12-082-6"
"2043",39,1,171,0.911721875078066,2018-11-10 09:57:42,0,"12-2043-3"
"2250",54,0,158,0.853304029423347,2018-11-10 09:58:20,1,"12-2250-4"
"2043",40,1,172,1,2018-11-10 09:59:02,0,"12-2043-3"
"2043",41,0,146,0.00133849943936237,2018-11-10 09:59:08,0,"12-2043-4"
"082",73,0,150,0.244233960779325,2018-11-10 09:59:23,1,"12-082-6"
"082",74,0,151,0.313307409622087,2018-11-10 10:01:33,3,"12-082-6"
"2250",55,0,159,1,2018-11-10 10:01:56,1,"12-2250-4"
"2250",56,1,160,0.000677518435978624,2018-11-10 10:02:34,1,"12-2250-5"
"082",75,0,152,0.382642525874351,2018-11-10 10:03:29,4,"12-082-6"
"2043",42,0,147,0.0752127784561694,2018-11-10 10:03:57,1,"12-2043-4"
"2043",43,0,148,0.12404645410996,2018-11-10 10:04:23,0,"12-2043-4"
"082",76,0,153,0.449327677267666,2018-11-10 10:04:43,0,"12-082-6"
"2250",57,1,161,0.136848160347602,2018-11-10 10:05:03,0,"12-2250-5"
"2043",44,0,149,0.15539288911319,2018-11-10 10:05:43,1,"12-2043-4"
"082",77,0,154,0.505831950163495,2018-11-10 10:05:51,0,"12-082-6"
"2250",58,1,162,0.19299211015708,2018-11-10 10:06:29,0,"12-2250-5"
"2043",45,0,150,0.244233960779325,2018-11-10 10:07:15,0,"12-2043-4"
"082",78,0,155,0.578449257827012,2018-11-10 10:08:10,5,"12-082-6"
"2250",59,1,163,0.303039839244284,2018-11-10 10:08:10,0,"12-2250-5"
"2043",46,0,151,0.313307409622087,2018-11-10 10:09:01,3,"12-2043-4"
"2043",47,0,152,0.382642525874351,2018-11-10 10:10:16,1,"12-2043-4"
"2250",60,1,164,0.391269053791425,2018-11-10 10:10:34,0,"12-2250-5"
"082",79,0,156,0.671302972393994,2018-11-10 10:10:59,2,"12-082-6"
"2043",48,0,153,0.449327677267666,2018-11-10 10:11:16,0,"12-2043-4"
"2043",49,0,154,0.505831950163495,2018-11-10 10:12:40,1,"12-2043-4"
"2250",61,1,165,0.472834997068035,2018-11-10 10:12:44,0,"12-2250-5"
"082",80,0,157,0.793010382183288,2018-11-10 10:13:08,0,"12-082-6"
"2250",62,1,166,0.509565516683319,2018-11-10 10:14:10,0,"12-2250-5"
"2043",50,0,155,0.578449257827012,2018-11-10 10:14:23,0,"12-2043-4"
