"vehicle","chunk","start_datetime","end_datetime"
"077",0,2018-11-17 13:33:19,2018-11-17 13:33:19
"077",1,2018-11-17 13:47:12,2018-11-17 13:47:26
"077",2,2018-11-17 14:05:26,2018-11-17 14:05:37
"077",3,2018-11-17 14:17:41,2018-11-17 14:17:50
"079",0,2018-11-17 07:36:21,2018-11-17 11:50:48
"079",1,2018-11-17 12:23:40,2018-11-17 21:42:27
"079",2,2018-11-17 21:54:57,2018-11-17 21:59:08
"079",3,2018-11-18 00:00:38,2018-11-18 00:00:38
"081",0,2018-11-17 08:04:18,2018-11-17 08:19:39
"081",1,2018-11-17 09:00:33,2018-11-17 09:34:57
"081",2,2018-11-17 09:40:10,2018-11-17 12:38:16
"081",3,2018-11-17 13:31:43,2018-11-17 16:24:23
"081",4,2018-11-17 16:31:05,2018-11-17 18:48:30
"081",5,2018-11-17 18:53:35,2018-11-17 18:58:00
"082",0,2018-11-17 07:09:23,2018-11-17 07:09:52
"082",1,2018-11-17 07:15:32,2018-11-17 13:37:37
"082",2,2018-11-17 13:44:17,2018-11-17 16:00:27
"082",3,2018-11-17 20:01:39,2018-11-17 20:01:49
"082",4,2018-11-17 22:07:00,2018-11-17 22:09:35
"082",5,2018-11-18 00:02:56,2018-11-18 00:02:56
"084",0,2018-11-17 05:37:14,2018-11-17 05:37:14
"084",1,2018-11-17 05:43:54,2018-11-17 09:57:23
"084",2,2018-11-17 10:36:11,2018-11-17 13:11:12
"085",0,2018-11-17 08:26:46,2018-11-17 10:25:36
"085",1,2018-11-17 10:32:57,2018-11-17 11:26:04
"085",2,2018-11-17 11:35:52,2018-11-17 11:37:22
"085",3,2018-11-17 11:44:20,2018-11-17 11:45:03
"085",4,2018-11-17 12:06:33,2018-11-17 12:06:54
"085",5,2018-11-17 12:33:14,2018-11-17 13:42:49
"085",6,2018-11-17 13:48:38,2018-11-17 21:14:46
"085",7,2018-11-17 22:00:24,2018-11-17 22:01:04
"085",8,2018-11-17 23:05:07,2018-11-17 23:06:28
"085",9,2018-11-18 00:00:05,2018-11-18 00:00:05
"086",0,2018-11-17 06:08:24,2018-11-17 06:55:22
"086",1,2018-11-17 07:00:48,2018-11-17 08:35:08
"086",2,2018-11-17 09:13:22,2018-11-17 19:16:54
"086",3,2018-11-17 19:22:22,2018-11-17 20:24:16
"086",4,2018-11-18 00:00:11,2018-11-18 00:00:11
"087",0,2018-11-17 06:45:54,2018-11-17 14:09:08
"087",1,2018-11-17 14:14:48,2018-11-17 18:36:52
"087",2,2018-11-17 19:43:37,2018-11-17 21:38:58
"087",3,2018-11-18 00:00:02,2018-11-18 00:00:02
"1006",0,2018-11-17 07:36:57,2018-11-17 11:52:24
"1006",1,2018-11-17 12:28:34,2018-11-17 13:14:18
"1006",2,2018-11-17 14:49:14,2018-11-17 15:46:39
"1006",3,2018-11-17 15:53:09,2018-11-17 17:27:04
"1006",4,2018-11-17 17:33:44,2018-11-17 19:08:37
"1006",5,2018-11-17 19:14:58,2018-11-17 20:23:59
"1006",6,2018-11-17 20:57:09,2018-11-17 21:19:56
"1006",7,2018-11-17 21:33:46,2018-11-17 21:51:37
"1006",8,2018-11-17 22:00:39,2018-11-17 22:22:06
