"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"1051",0,0,1415,0.563179688116061,2018-11-24 20:59:35,4,"H5-1051-0"
"1051",1,0,1416,0.584032840501001,2018-11-24 21:04:35,3,"H5-1051-0"
"1051",2,0,1417,0.610427711692125,2018-11-24 21:06:20,1,"H5-1051-0"
"1051",3,0,1418,0.631025224381994,2018-11-24 21:07:45,0,"H5-1051-0"
"1051",4,0,1419,0.738947810339751,2018-11-24 21:12:21,0,"H5-1051-0"
"1051",5,0,1420,0.783164584086569,2018-11-24 21:14:06,0,"H5-1051-0"
"1051",6,0,1421,0.819575732630755,2018-11-24 21:15:16,1,"H5-1051-0"
"1051",7,0,1422,0.847399512052473,2018-11-24 21:16:06,0,"H5-1051-0"
"1051",8,0,1423,0.887809225978933,2018-11-24 21:17:21,0,"H5-1051-0"
"1051",9,0,1424,0.922458268240276,2018-11-24 21:18:46,0,"H5-1051-0"
"530",0,1,1435,0.405479754869887,2018-11-24 21:20:06,30,"H5-530-0"
"530",1,1,1436,0.439893803161774,2018-11-24 21:21:10,0,"H5-530-0"
"1199",0,1,1449,0.932024227342633,2018-11-24 21:24:07,0,"H5-1199-0"
"1199",1,1,1450,0.983258402941195,2018-11-24 21:25:02,4,"H5-1199-0"
"1199",2,1,1451,0.999760030132926,2018-11-24 21:25:21,0,"H5-1199-0"
"1199",3,0,1402,0,2018-11-24 21:25:24,0,"H5-1199-1"
"1051",10,0,1425,1,2018-11-24 21:31:43,0,"H5-1051-0"
"1051",11,1,1426,0.000185369423874143,2018-11-24 21:31:48,0,"H5-1051-1"
"530",2,1,1437,0.487581991607755,2018-11-24 21:32:10,20,"H5-530-0"
"1199",4,0,1403,0.0588992091813712,2018-11-24 21:33:33,0,"H5-1199-1"
"1051",12,1,1427,0.0594019539891121,2018-11-24 21:33:38,0,"H5-1051-1"
"530",3,1,1438,0.535746668570886,2018-11-24 21:34:02,0,"H5-530-0"
"1051",13,1,1428,0.0807108706569484,2018-11-24 21:34:48,0,"H5-1051-1"
"1199",5,0,1404,0.100242687626492,2018-11-24 21:35:13,0,"H5-1199-1"
"530",4,1,1439,0.549040484799152,2018-11-24 21:36:14,2,"H5-530-0"
"1051",14,1,1429,0.136388603537178,2018-11-24 21:36:28,0,"H5-1051-1"
"1199",6,0,1405,0.131440560269434,2018-11-24 21:36:33,2,"H5-1199-1"
"530",5,1,1440,0.570885488728222,2018-11-24 21:37:11,0,"H5-530-0"
"1051",15,1,1430,0.173597811595768,2018-11-24 21:38:08,0,"H5-1051-1"
"1199",7,0,1406,0.176759950014825,2018-11-24 21:38:18,0,"H5-1199-1"
"530",6,1,1441,0.597038599157096,2018-11-24 21:38:25,0,"H5-530-0"
"1051",16,1,1431,0.199084725675038,2018-11-24 21:39:05,0,"H5-1051-1"
"1051",17,1,1432,0.243009799030008,2018-11-24 21:40:26,0,"H5-1051-1"
"530",7,1,1442,0.654097651746381,2018-11-24 21:41:10,0,"H5-530-0"
"1199",8,0,1407,0.268735283686607,2018-11-24 21:41:13,2,"H5-1199-1"
"1199",9,0,1408,0.308288924198904,2018-11-24 21:42:43,3,"H5-1199-1"
"530",8,1,1443,0.687335914885114,2018-11-24 21:43:07,2,"H5-530-0"
"1199",10,0,1409,0.34044465113703,2018-11-24 21:43:38,0,"H5-1199-1"
"530",9,1,1444,0.713177508609299,2018-11-24 21:44:07,3,"H5-530-0"
"1051",18,1,1433,0.351343071406685,2018-11-24 21:44:58,0,"H5-1051-1"
"1199",11,0,1410,0.402507047744166,2018-11-24 21:45:43,3,"H5-1199-1"
"530",10,1,1445,0.81540798895146,2018-11-24 21:47:01,0,"H5-530-0"
"1199",12,0,1411,0.431338253287593,2018-11-24 21:47:03,0,"H5-1199-1"
"530",11,1,1446,0.853032764950877,2018-11-24 21:48:02,0,"H5-530-0"
"1051",19,1,1434,0.390482149328968,2018-11-24 21:48:11,0,"H5-1051-1"
"1199",13,0,1412,0.449911339995078,2018-11-24 21:48:13,1,"H5-1199-1"
"530",12,1,1447,0.874003293718497,2018-11-24 21:49:02,0,"H5-530-0"
"1199",14,0,1413,0.473080709507032,2018-11-24 21:49:43,1,"H5-1199-1"
"530",13,1,1448,0.894306996994377,2018-11-24 21:49:58,0,"H5-530-0"
"1051",20,1,1435,0.405479754869887,2018-11-24 21:50:22,0,"H5-1051-1"
"530",14,1,1449,0.932024227342633,2018-11-24 21:51:09,0,"H5-530-0"
"1199",15,0,1414,0.505084269559022,2018-11-24 21:51:59,0,"H5-1199-1"
"530",15,1,1450,0.983258402941195,2018-11-24 21:52:40,0,"H5-530-0"
"530",16,1,1451,0.999760030132926,2018-11-24 21:52:57,0,"H5-530-0"
"530",17,0,1402,0,2018-11-24 21:53:00,0,"H5-530-1"
"1199",16,0,1415,0.563179688116061,2018-11-24 22:00:09,5,"H5-1199-1"
"1051",21,1,1436,0.439893803161774,2018-11-24 22:01:10,13,"H5-1051-1"
"530",18,0,1403,0.0588992091813712,2018-11-24 22:02:06,2,"H5-530-1"
"1199",17,0,1416,0.584032840501001,2018-11-24 22:02:07,3,"H5-1199-1"
"530",19,0,1404,0.100242687626492,2018-11-24 22:02:53,1,"H5-530-1"
"530",20,0,1405,0.131440560269434,2018-11-24 22:04:08,1,"H5-530-1"
"1199",18,0,1417,0.610427711692125,2018-11-24 22:04:23,3,"H5-1199-1"
"1051",22,1,1437,0.487581991607755,2018-11-24 22:05:11,4,"H5-1051-1"
"530",21,0,1406,0.176759950014825,2018-11-24 22:05:22,5,"H5-530-1"
"1199",19,0,1418,0.631025224381994,2018-11-24 22:05:55,0,"H5-1199-1"
"1051",23,1,1438,0.535746668570886,2018-11-24 22:07:00,1,"H5-1051-1"
"1051",24,1,1439,0.549040484799152,2018-11-24 22:07:45,1,"H5-1051-1"
"530",22,0,1407,0.268735283686607,2018-11-24 22:08:15,0,"H5-530-1"
"1051",25,1,1440,0.570885488728222,2018-11-24 22:08:51,0,"H5-1051-1"
"1051",26,1,1441,0.597038599157096,2018-11-24 22:09:51,3,"H5-1051-1"
"530",23,0,1408,0.308288924198904,2018-11-24 22:10:08,1,"H5-530-1"
"1199",20,0,1419,0.738947810339751,2018-11-24 22:10:34,0,"H5-1199-1"
"530",24,0,1409,0.34044465113703,2018-11-24 22:11:05,0,"H5-530-1"
"1051",27,1,1442,0.654097651746381,2018-11-24 22:11:51,0,"H5-1051-1"
"1199",21,0,1420,0.783164584086569,2018-11-24 22:12:04,0,"H5-1199-1"
"1051",28,1,1443,0.687335914885114,2018-11-24 22:13:19,0,"H5-1051-1"
"530",25,0,1410,0.402507047744166,2018-11-24 22:13:23,0,"H5-530-1"
"1199",22,0,1421,0.819575732630755,2018-11-24 22:13:34,0,"H5-1199-1"
"1051",29,1,1444,0.713177508609299,2018-11-24 22:14:14,1,"H5-1051-1"
"530",26,0,1411,0.431338253287593,2018-11-24 22:14:33,0,"H5-530-1"
"1199",23,0,1422,0.847399512052473,2018-11-24 22:14:44,0,"H5-1199-1"
"530",27,0,1412,0.449911339995078,2018-11-24 22:15:29,1,"H5-530-1"
"1199",24,0,1423,0.887809225978933,2018-11-24 22:16:14,0,"H5-1199-1"
"530",28,0,1413,0.473080709507032,2018-11-24 22:16:55,4,"H5-530-1"
"1051",30,1,1445,0.81540798895146,2018-11-24 22:17:25,1,"H5-1051-1"
"1199",25,0,1424,0.922458268240276,2018-11-24 22:17:39,0,"H5-1199-1"
"1051",31,1,1446,0.853032764950877,2018-11-24 22:18:40,0,"H5-1051-1"
"530",29,0,1414,0.505084269559022,2018-11-24 22:19:02,0,"H5-530-1"
"1051",32,1,1447,0.874003293718497,2018-11-24 22:19:10,0,"H5-1051-1"
"1051",33,1,1448,0.894306996994377,2018-11-24 22:19:50,0,"H5-1051-1"
"1051",34,1,1449,0.932024227342633,2018-11-24 22:21:40,0,"H5-1051-1"
"1051",35,1,1450,0.983258402941195,2018-11-24 22:22:50,0,"H5-1051-1"
"1051",36,1,1451,0.999760030132926,2018-11-24 22:23:15,0,"H5-1051-1"
"1051",37,0,1402,0,2018-11-24 22:23:24,0,"H5-1051-2"
"530",30,0,1415,0.563179688116061,2018-11-24 22:29:15,0,"H5-530-1"
"1199",26,0,1425,1,2018-11-24 22:31:01,5,"H5-1199-1"
"1199",27,1,1426,0.000185369423874143,2018-11-24 22:31:06,0,"H5-1199-2"
"530",31,0,1416,0.584032840501001,2018-11-24 22:31:09,2,"H5-530-1"
"530",32,0,1417,0.610427711692125,2018-11-24 22:32:31,0,"H5-530-1"
"1199",28,1,1427,0.0594019539891121,2018-11-24 22:33:26,0,"H5-1199-2"
"1051",38,0,1403,0.0588992091813712,2018-11-24 22:33:54,0,"H5-1051-2"
"530",33,0,1418,0.631025224381994,2018-11-24 22:34:05,2,"H5-530-1"
"1199",29,1,1428,0.0807108706569484,2018-11-24 22:34:36,2,"H5-1199-2"
"1051",39,0,1404,0.100242687626492,2018-11-24 22:35:10,2,"H5-1051-2"
"1051",40,0,1405,0.131440560269434,2018-11-24 22:36:30,3,"H5-1051-2"
"1199",30,1,1429,0.136388603537178,2018-11-24 22:36:56,1,"H5-1199-2"
"1051",41,0,1406,0.176759950014825,2018-11-24 22:38:00,0,"H5-1051-2"
"530",34,0,1419,0.738947810339751,2018-11-24 22:38:24,0,"H5-530-1"
"1199",31,1,1430,0.173597811595768,2018-11-24 22:38:36,1,"H5-1199-2"
"1199",32,1,1431,0.199084725675038,2018-11-24 22:39:36,2,"H5-1199-2"
"530",35,0,1420,0.783164584086569,2018-11-24 22:40:12,0,"H5-530-1"
"1051",42,0,1407,0.268735283686607,2018-11-24 22:40:20,1,"H5-1051-2"
"1199",33,1,1432,0.243009799030008,2018-11-24 22:41:16,0,"H5-1199-2"
"530",36,0,1421,0.819575732630755,2018-11-24 22:41:35,0,"H5-530-1"
"1051",43,0,1408,0.308288924198904,2018-11-24 22:42:05,1,"H5-1051-2"
"530",37,0,1422,0.847399512052473,2018-11-24 22:42:33,0,"H5-530-1"
