"datetime","vehicle","kind","lon","lat","on_route"
2018-12-04 18:17:20,"1070",14,28.660623550415,50.2559928894043,1
2018-12-04 05:26:00,"1070",1,NA,NA,0
2018-12-04 05:26:31,"1070",27,NA,NA,0
2018-12-04 05:26:31,"1070",24,NA,NA,0
2018-12-04 05:26:31,"1070",28,NA,NA,0
2018-12-04 05:26:31,"1070",25,NA,NA,0
2018-12-04 05:38:49,"1070",25,NA,NA,0
2018-12-04 05:38:49,"1070",27,NA,NA,0
2018-12-04 05:38:49,"1070",28,NA,NA,0
2018-12-04 05:38:49,"1070",24,NA,NA,0
2018-12-04 05:38:49,"1070",1,NA,NA,0
2018-12-04 05:45:19,"1280",28,NA,NA,0
2018-12-04 05:45:19,"1280",27,NA,NA,0
2018-12-04 05:45:19,"1280",25,NA,NA,0
2018-12-04 05:45:19,"1280",24,NA,NA,0
2018-12-04 05:45:19,"1280",1,NA,NA,0
2018-12-04 05:52:48,"1280",1,NA,NA,0
2018-12-04 05:53:19,"1280",24,NA,NA,0
2018-12-04 05:53:19,"1280",27,NA,NA,0
2018-12-04 05:53:19,"1280",28,NA,NA,0
2018-12-04 05:53:19,"1280",25,NA,NA,0
2018-12-04 05:54:50,"2049",24,NA,NA,0
2018-12-04 05:54:50,"2049",25,NA,NA,0
2018-12-04 05:54:50,"2049",27,NA,NA,0
2018-12-04 05:54:50,"2049",28,NA,NA,0
2018-12-04 05:54:50,"2049",1,NA,NA,0
2018-12-04 06:04:06,"1280",14,NA,NA,0
2018-12-04 06:04:17,"1280",14,NA,NA,0
2018-12-04 06:08:54,"2049",1,NA,NA,0
2018-12-04 06:09:33,"2049",24,NA,NA,0
2018-12-04 06:09:33,"2049",25,NA,NA,0
2018-12-04 06:09:33,"2049",28,NA,NA,0
2018-12-04 06:09:33,"2049",27,NA,NA,0
2018-12-04 06:12:42,"1280",14,NA,NA,0
2018-12-04 06:15:21,"1280",14,NA,NA,0
2018-12-04 06:23:01,"1227",1,NA,NA,0
2018-12-04 06:23:37,"1227",28,NA,NA,0
2018-12-04 06:23:37,"1227",24,NA,NA,0
2018-12-04 06:23:37,"1227",25,NA,NA,0
2018-12-04 06:23:37,"1227",27,NA,NA,0
2018-12-04 06:24:07,"1280",14,NA,NA,0
2018-12-04 06:30:22,"1227",2,NA,NA,0
2018-12-04 06:30:17,"1227",26,NA,NA,0
2018-12-04 06:33:53,"1070",14,NA,NA,0
2018-12-04 06:38:52,"1280",14,NA,NA,0
2018-12-04 06:43:30,"1280",14,NA,NA,0
2018-12-04 06:44:13,"1280",14,NA,NA,0
2018-12-04 06:53:59,"1280",14,NA,NA,0
2018-12-04 06:52:33,"1280",14,NA,NA,0
2018-12-04 07:01:17,"1070",17,NA,NA,0
2018-12-04 07:01:24,"1070",17,NA,NA,0
2018-12-04 07:01:27,"1070",17,NA,NA,0
2018-12-04 07:01:44,"1070",14,NA,NA,0
2018-12-04 06:52:40,"1280",21,NA,NA,0
2018-12-04 07:02:05,"1070",14,NA,NA,0
2018-12-04 07:02:13,"1070",14,NA,NA,0
2018-12-04 07:02:14,"1070",14,NA,NA,0
2018-12-04 07:02:26,"2049",17,NA,NA,0
2018-12-04 07:02:29,"1070",14,NA,NA,0
2018-12-04 07:02:44,"1070",14,NA,NA,0
2018-12-04 07:02:54,"1070",14,NA,NA,0
2018-12-04 07:02:56,"2049",14,NA,NA,0
2018-12-04 07:03:12,"2049",17,NA,NA,0
2018-12-04 07:03:26,"2049",17,NA,NA,0
2018-12-04 07:04:28,"2049",17,NA,NA,0
2018-12-04 07:19:48,"1280",32,NA,NA,0
2018-12-04 07:23:20,"1227",14,NA,NA,0
2018-12-04 07:20:32,"1280",32,NA,NA,0
2018-12-04 07:21:22,"1280",14,NA,NA,0
2018-12-04 07:21:40,"1280",14,NA,NA,0
2018-12-04 07:21:49,"1280",14,NA,NA,0
2018-12-04 07:21:51,"1280",14,NA,NA,0
2018-12-04 07:22:20,"1280",14,NA,NA,0
2018-12-04 07:22:25,"1280",17,NA,NA,0
2018-12-04 07:33:03,"1280",17,NA,NA,0
2018-12-04 07:33:07,"1280",17,NA,NA,0
2018-12-04 07:35:13,"1227",14,NA,NA,0
2018-12-04 07:35:14,"1280",17,NA,NA,0
2018-12-04 07:39:25,"1070",17,NA,NA,0
2018-12-04 07:39:37,"1070",32,NA,NA,0
2018-12-04 07:41:27,"1070",17,NA,NA,0
2018-12-04 07:45:59,"2049",17,NA,NA,0
2018-12-04 07:46:17,"2049",17,NA,NA,0
2018-12-04 07:40:14,"1070",14,NA,NA,0
2018-12-04 07:40:25,"1070",14,NA,NA,0
2018-12-04 07:43:42,"1070",14,NA,NA,0
2018-12-04 07:43:44,"1070",14,NA,NA,0
2018-12-04 07:44:01,"1070",14,NA,NA,0
2018-12-04 07:46:48,"2049",14,NA,NA,0
2018-12-04 07:52:07,"1227",14,NA,NA,0
2018-12-04 08:00:19,"1280",17,NA,NA,0
2018-12-04 08:00:23,"1280",17,NA,NA,0
2018-12-04 08:00:26,"1280",17,NA,NA,0
2018-12-04 08:02:00,"1280",14,NA,NA,0
2018-12-04 08:02:11,"1280",14,NA,NA,0
2018-12-04 08:02:13,"1280",14,NA,NA,0
2018-12-04 08:05:26,"1227",14,NA,NA,0
2018-12-04 08:05:34,"1227",14,NA,NA,0
2018-12-04 08:05:45,"1227",14,NA,NA,0
2018-12-04 08:06:26,"1227",17,NA,NA,0
2018-12-04 08:06:38,"1227",17,NA,NA,0
2018-12-04 08:06:45,"1280",14,NA,NA,0
2018-12-04 08:06:45,"1227",17,NA,NA,0
2018-12-04 08:06:50,"1280",17,NA,NA,0
2018-12-04 08:06:55,"1227",14,NA,NA,0
2018-12-04 08:06:57,"1227",14,NA,NA,0
2018-12-04 08:07:40,"1227",14,NA,NA,0
2018-12-04 08:07:44,"1227",17,NA,NA,0
2018-12-04 08:07:46,"1227",17,NA,NA,0
2018-12-04 08:08:00,"1227",14,NA,NA,0
2018-12-04 08:12:29,"1280",14,NA,NA,0
2018-12-04 08:13:51,"1280",14,NA,NA,0
2018-12-04 08:00:56,"1280",14,NA,NA,0
2018-12-04 08:01:47,"1280",14,NA,NA,0
2018-12-04 08:05:02,"1227",14,NA,NA,0
2018-12-04 08:05:15,"1227",14,NA,NA,0
2018-12-04 08:06:10,"1280",14,NA,NA,0
2018-12-04 08:06:21,"1227",14,NA,NA,0
2018-12-04 08:07:02,"1227",17,NA,NA,0
2018-12-04 08:07:14,"1227",14,NA,NA,0
2018-12-04 08:07:27,"1227",14,NA,NA,0
2018-12-04 08:07:28,"1227",14,NA,NA,0
2018-12-04 08:08:04,"1227",14,NA,NA,0
2018-12-04 08:10:43,"1280",14,NA,NA,0
2018-12-04 08:13:38,"1280",17,NA,NA,0
2018-12-04 08:13:42,"1280",17,NA,NA,0
2018-12-04 08:21:24,"1070",14,NA,NA,0
2018-12-04 08:27:53,"2049",14,NA,NA,0
2018-12-04 08:27:56,"2049",14,NA,NA,0
2018-12-04 08:28:08,"1227",14,NA,NA,0
2018-12-04 09:12:06,"1070",14,NA,NA,0
2018-12-04 09:12:07,"1070",14,NA,NA,0
2018-12-04 08:16:20,"1227",17,NA,NA,0
2018-12-04 08:26:17,"1070",14,NA,NA,0
2018-12-04 08:27:23,"2049",14,NA,NA,0
2018-12-04 08:27:32,"2049",17,NA,NA,0
2018-12-04 08:28:17,"2049",14,NA,NA,0
2018-12-04 08:28:24,"2049",14,NA,NA,0
2018-12-04 08:28:26,"1227",14,NA,NA,0
2018-12-04 08:36:53,"1070",14,NA,NA,0
2018-12-04 08:50:10,"1280",17,NA,NA,0
2018-12-04 09:01:50,"1280",17,NA,NA,0
2018-12-04 09:02:31,"1070",14,NA,NA,0
2018-12-04 09:50:25,"1280",17,NA,NA,0
2018-12-04 09:57:03,"1280",17,NA,NA,0
2018-12-04 10:15:15,"1280",14,NA,NA,0
2018-12-04 10:15:30,"1280",14,NA,NA,0
2018-12-04 10:25:05,"1280",14,NA,NA,0
2018-12-04 10:25:07,"1280",14,NA,NA,0
2018-12-04 10:25:17,"1280",14,NA,NA,0
2018-12-04 10:25:21,"1280",14,NA,NA,0
2018-12-04 10:52:19,"1280",14,NA,NA,0
2018-12-04 11:06:16,"1227",17,NA,NA,0
2018-12-04 11:06:33,"1227",14,NA,NA,0
2018-12-04 11:16:50,"1280",17,NA,NA,0
2018-12-04 11:17:01,"1280",17,NA,NA,0
2018-12-04 11:17:14,"1280",14,NA,NA,0
2018-12-04 11:21:45,"1280",14,NA,NA,0
2018-12-04 11:23:36,"1280",14,NA,NA,0
2018-12-04 11:33:19,"1280",17,NA,NA,0
2018-12-04 11:33:23,"1280",17,NA,NA,0
2018-12-04 11:34:35,"1280",14,NA,NA,0
2018-12-04 11:34:41,"1280",14,NA,NA,0
2018-12-04 11:35:38,"1280",14,NA,NA,0
2018-12-04 11:35:43,"1227",14,NA,NA,0
2018-12-04 11:37:30,"1280",17,NA,NA,0
2018-12-04 11:37:38,"1280",17,NA,NA,0
2018-12-04 11:38:54,"1280",14,NA,NA,0
2018-12-04 11:38:55,"1280",14,NA,NA,0
2018-12-04 11:44:34,"1280",17,NA,NA,0
2018-12-04 09:41:23,"1280",14,NA,NA,0
2018-12-04 10:01:43,"1280",17,NA,NA,0
2018-12-04 10:13:32,"1227",27,NA,NA,0
2018-12-04 10:13:32,"1227",1,NA,NA,0
2018-12-04 10:13:32,"1227",25,NA,NA,0
2018-12-04 10:13:32,"1227",24,NA,NA,0
2018-12-04 10:13:32,"1227",28,NA,NA,0
2018-12-04 10:14:21,"1280",17,NA,NA,0
2018-12-04 10:31:43,"1280",17,NA,NA,0
2018-12-04 10:39:08,"1280",14,NA,NA,0
2018-12-04 10:39:24,"1227",14,NA,NA,0
2018-12-04 10:39:32,"1227",14,NA,NA,0
2018-12-04 10:39:56,"1227",14,NA,NA,0
2018-12-04 10:40:04,"1227",14,NA,NA,0
2018-12-04 10:41:28,"1227",14,NA,NA,0
2018-12-04 10:50:36,"1280",14,NA,NA,0
2018-12-04 10:50:42,"1280",14,NA,NA,0
2018-12-04 10:50:55,"1280",14,NA,NA,0
2018-12-04 12:05:35,"1280",14,NA,NA,0
2018-12-04 12:05:37,"1280",14,NA,NA,0
2018-12-04 12:05:38,"1280",14,NA,NA,0
2018-12-04 12:25:39,"1280",14,NA,NA,0
2018-12-04 12:39:07,"1280",17,NA,NA,0
2018-12-04 12:39:12,"1280",17,NA,NA,0
2018-12-04 13:02:14,"1280",14,NA,NA,0
2018-12-04 13:02:24,"1280",14,NA,NA,0
2018-12-04 13:04:52,"1280",14,NA,NA,0
2018-12-04 13:20:32,"1280",14,NA,NA,0
2018-12-04 13:30:43,"1280",14,NA,NA,0
2018-12-04 13:31:47,"1280",17,NA,NA,0
2018-12-04 13:31:53,"1280",17,NA,NA,0
2018-12-04 13:49:29,"1280",14,NA,NA,0
2018-12-04 14:12:21,"1280",14,NA,NA,0
2018-12-04 11:49:06,"1280",17,NA,NA,0
2018-12-04 11:49:13,"1280",17,NA,NA,0
2018-12-04 11:51:54,"1280",17,NA,NA,0
2018-12-04 12:03:14,"1227",17,NA,NA,0
2018-12-04 12:03:15,"1227",14,NA,NA,0
2018-12-04 12:03:18,"1227",17,NA,NA,0
2018-12-04 12:03:22,"1227",14,NA,NA,0
2018-12-04 12:03:31,"1227",17,NA,NA,0
2018-12-04 12:03:51,"1227",14,NA,NA,0
2018-12-04 12:04:10,"1280",17,NA,NA,0
2018-12-04 12:13:55,"1280",14,NA,NA,0
2018-12-04 12:18:38,"1227",14,NA,NA,0
2018-12-04 12:19:23,"1280",17,NA,NA,0
