"vehicle","route","chunk","start_datetime","end_datetime"
"077","1",0,2018-12-10 08:58:37,2018-12-10 09:00:00
"077","1",1,2018-12-10 09:03:31,2018-12-10 09:07:54
"077","1",2,2018-12-10 09:13:36,2018-12-10 09:13:53
"077","1",3,2018-12-10 09:16:39,2018-12-10 09:16:48
"077","1",4,2018-12-10 10:27:43,2018-12-10 10:29:36
"077","15A",0,2018-12-10 06:13:50,2018-12-10 06:13:50
"077","15A",1,2018-12-10 06:32:26,2018-12-10 06:34:28
"077","15A",2,2018-12-10 06:57:00,2018-12-10 06:59:18
"077","15A",3,2018-12-10 09:06:55,2018-12-10 09:06:55
"077","15A",4,2018-12-10 13:45:11,2018-12-10 13:45:20
"077","15A",5,2018-12-10 14:12:17,2018-12-10 14:14:03
"077","15A",6,2018-12-10 19:00:36,2018-12-10 19:02:01
"077","15A",7,2018-12-10 19:04:31,2018-12-10 19:06:15
"077","3",0,2018-12-10 14:58:33,2018-12-10 14:58:56
"078","9",0,2018-12-10 06:21:13,2018-12-10 06:21:13
"078","9",1,2018-12-10 06:51:50,2018-12-10 06:56:26
"078","9",2,2018-12-10 07:02:26,2018-12-10 07:02:36
"078","9",3,2018-12-10 07:10:26,2018-12-10 07:17:14
"078","9",4,2018-12-10 09:55:11,2018-12-10 10:04:12
"078","9",5,2018-12-10 10:48:20,2018-12-10 10:48:29
"078","9",6,2018-12-10 11:05:02,2018-12-10 11:06:13
"078","9",7,2018-12-10 11:42:07,2018-12-10 11:42:29
"078","9",8,2018-12-10 12:18:55,2018-12-10 12:19:04
"078","9",9,2018-12-10 13:41:59,2018-12-10 13:42:29
"078","9",10,2018-12-10 13:44:58,2018-12-10 13:46:28
"078","9",11,2018-12-10 13:48:38,2018-12-10 13:51:10
"078","9",12,2018-12-10 19:00:51,2018-12-10 19:06:20
"078","9",13,2018-12-10 19:08:29,2018-12-10 19:11:30
"078","9",14,2018-12-10 19:32:57,2018-12-10 19:35:31
"078","9",15,2018-12-10 19:38:37,2018-12-10 19:38:46
"078","9",16,2018-12-10 19:44:31,2018-12-10 19:45:52
"078","9",17,2018-12-10 19:49:22,2018-12-10 19:51:08
"078","9",18,2018-12-10 20:01:37,2018-12-10 20:01:46
"079","5A",0,2018-12-10 06:30:53,2018-12-10 06:31:23
"079","5A",1,2018-12-10 06:53:34,2018-12-10 07:16:13
"079","5A",2,2018-12-10 19:22:54,2018-12-10 19:24:24
"079","5A",3,2018-12-10 19:29:00,2018-12-10 19:56:52
"079","5A",4,2018-12-10 19:59:07,2018-12-10 20:02:14
"079","5A",5,2018-12-10 20:05:04,2018-12-10 20:06:15
"079","5A",6,2018-12-10 23:19:39,2018-12-10 23:20:08
"079","5A",7,2018-12-11 00:02:09,2018-12-11 00:02:09
