"route","stop_id","direction","date","transactions","geometry"
H4,2563,1,2018-08-07,5,"{""type"":""LineString"",""coordinates"":[[28.6565716104674,50.2933582111704],[28.65659,50.29342],[28.65664,50.29361],[28.6567,50.29385],[28.65683,50.29415],[28.65693,50.29442],[28.657126,50.294962],[28.65722,50.29522],[28.65727,50.29534],[28.65746,50.29582],[28.65756,50.29603],[28.65766,50.29605],[28.657738,50.296083],[28.65782,50.29612],[28.65798,50.29621],[28.65807,50.29626],[28.65809,50.29628],[28.65811,50.2963],[28.658133,50.296317],[28.65813,50.29632],[28.65814,50.29635],[28.65813,50.29638],[28.65812,50.2964],[28.65811,50.29641],[28.65808,50.29643],[28.65805,50.29645],[28.657999,50.296465],[28.657905,50.296497],[28.65779,50.29636],[28.65767,50.29621],[28.657647,50.296175]]}"
"6",277,0,2018-08-08,8,"{""type"":""LineString"",""coordinates"":[[28.6806942122029,50.2660889785001],[28.680727,50.26605],[28.68076,50.26601],[28.68136,50.26523],[28.68176,50.26476],[28.68179,50.26472],[28.68215,50.26432],[28.682177,50.264284],[28.68238,50.26402],[28.682397,50.263992],[28.682457,50.263918],[28.682495,50.263869],[28.682532,50.263828],[28.682573,50.263779],[28.682688,50.263822],[28.68274,50.26384],[28.68284,50.26388],[28.683162,50.264019],[28.6831939143799,50.264032706817]]}"
"4",1516,1,2018-08-09,16,"{""type"":""LineString"",""coordinates"":[[28.7095561881019,50.2418601129895],[28.70955,50.2418],[28.70956,50.24167],[28.70957,50.24165],[28.709687,50.241306],[28.70971,50.24124],[28.7099,50.2409],[28.71004,50.24078],[28.71014,50.24068],[28.71035,50.2405],[28.71049,50.24037],[28.71062,50.24024],[28.71071,50.24013],[28.71077,50.24004],[28.71084,50.23987],[28.71089,50.23975],[28.71094,50.23957],[28.71096,50.23937],[28.71096,50.23931],[28.71087,50.23822],[28.710827,50.237892],[28.71078,50.23786],[28.71076,50.23784],[28.71075,50.23782],[28.71072,50.23779],[28.71068,50.23777],[28.71056,50.23773],[28.7104,50.23769],[28.71016,50.23764],[28.70985,50.23759],[28.70954,50.23756],[28.709275,50.237559],[28.70871,50.23756],[28.708556,50.237568],[28.7081825769534,50.2375865249031]]}"
"10",106,0,2018-08-09,11,"{""type"":""LineString"",""coordinates"":[[28.728578811004,50.2500986966633],[28.728595,50.250097],[28.73043,50.2499],[28.7333830471877,50.2495902537351]]}"
"3",1220,0,2018-08-06,108,"{""type"":""LineString"",""coordinates"":[[28.6531476505092,50.2610702445564],[28.653186,50.261054],[28.653297,50.261006],[28.65343,50.26095],[28.65359,50.26088],[28.65367,50.26084],[28.65374,50.2608],[28.653848,50.260721],[28.65413,50.26036],[28.65439,50.26],[28.65507,50.2591],[28.65582,50.258097],[28.65631,50.25751],[28.65656,50.2572],[28.65676,50.25696],[28.6569,50.25678],[28.656989,50.256675],[28.65717,50.25646],[28.657299,50.256306],[28.65779,50.25646],[28.65791,50.256499],[28.65822,50.2566],[28.658721,50.256747],[28.659003,50.256838],[28.6590392009214,50.2568497736793]]}"
"3",1210,0,2018-08-06,168,"{""type"":""LineString"",""coordinates"":[[28.6076662676976,50.2835907658527],[28.607699,50.283585],[28.60863,50.28342],[28.609854,50.283197],[28.610267,50.283123],[28.6120077654776,50.2828102291113]]}"
"53A",1602,1,2018-08-07,0,"{""type"":""LineString"",""coordinates"":[[28.654168,50.306095],[28.654193,50.306079]]}"
H7,2630,0,2018-08-06,0,"{""type"":""LineString"",""coordinates"":[[28.7258335062187,50.2569718525044],[28.725879,50.256935],[28.72617,50.2567],[28.72647,50.25628],[28.72681,50.25583],[28.72691,50.25568],[28.72701,50.25551],[28.72709,50.25535],[28.72716,50.2552],[28.72726,50.25498],[28.72731,50.2548],[28.72737,50.2546],[28.72742,50.25437],[28.72745,50.25419],[28.72746,50.254],[28.72747,50.25382],[28.72746,50.253],[28.72747,50.25257],[28.72748,50.25167],[28.72749,50.25073],[28.727529,50.250545],[28.727571,50.250199],[28.727574,50.250151],[28.727568,50.25011],[28.727902,50.250151],[28.72795,50.25015],[28.72819,50.25014],[28.728366,50.250121],[28.728578811004,50.2500986966633]]}"
"53A",1573,0,2018-08-09,301,"{""type"":""LineString"",""coordinates"":[[28.7023023373929,50.2422469076247],[28.70235,50.2426],[28.7024,50.24302],[28.702466,50.243531],[28.7025,50.24379],[28.70254,50.24413],[28.70262,50.24475],[28.70271,50.24543],[28.70283,50.24632],[28.702875,50.246688],[28.70292,50.24706],[28.702989,50.247441],[28.703069,50.247765],[28.70307,50.24777],[28.70309,50.2479],[28.70321,50.24864],[28.703219,50.248715]]}"
"4",1506,0,2018-08-06,47,"{""type"":""LineString"",""coordinates"":[[28.6869624495515,50.2656506902796],[28.68736,50.26582],[28.6885,50.26631],[28.68868,50.26639],[28.68886,50.26647],[28.688929,50.266525],[28.68926,50.26667],[28.68936,50.26671],[28.68942,50.26674],[28.6902,50.26708],[28.69068,50.26727],[28.69109,50.26746],[28.69117,50.26749],[28.69151,50.26764],[28.691655,50.267701],[28.691905,50.267805],[28.69242,50.26802],[28.692615,50.268096],[28.69265,50.26811]]}"
