date,route,n
2019-01-01,1,3438
2019-01-01,12,529
2019-01-01,15A,3157
2019-01-01,2,3946
2019-01-01,3,3808
2019-01-01,4,1624
2019-01-01,53,3710
2019-01-01,53A,3955
2019-01-01,5A,499
2019-01-01,7,817
2019-01-01,8,740
2019-01-01,91,2102
2019-01-01,H2,225
2019-01-01,H3,340
2019-01-01,H4,136
2019-01-01,H5,418
2019-01-02,1,5820
2019-01-02,10,1533
2019-01-02,12,1018
2019-01-02,15A,4111
2019-01-02,2,6022
2019-01-02,3,6381
2019-01-02,4,2904
2019-01-02,4A,920
2019-01-02,53,5992
2019-01-02,53A,5775
2019-01-02,53C,97
2019-01-02,5A,2687
2019-01-02,6,268
2019-01-02,7A,1425
2019-01-02,8,1688
2019-01-02,9,375
2019-01-02,91,6145
2019-01-02,H2,178
2019-01-02,H3,210
2019-01-02,H4,104
2019-01-02,H5,373
2019-01-03,1,5870
2019-01-03,10,1895
2019-01-03,12,1233
2019-01-03,15A,4040
2019-01-03,2,6327
2019-01-03,3,6378
2019-01-03,4,3370
2019-01-03,4A,833
2019-01-03,53,5947
2019-01-03,53A,6145
2019-01-03,5A,2763
2019-01-03,6,328
2019-01-03,7A,1793
2019-01-03,8,1639
2019-01-03,9,487
2019-01-03,91,7379
2019-01-03,H2,138
2019-01-03,H3,77
2019-01-03,H4,90
2019-01-03,H5,329
2019-01-04,1,6674
2019-01-04,10,2000
2019-01-04,12,1488
2019-01-04,15A,4515
2019-01-04,2,5942
2019-01-04,3,6340
2019-01-04,4,3134
2019-01-04,4A,900
2019-01-04,53,6033
2019-01-04,53A,5983
2019-01-04,5A,2825
2019-01-04,6,316
2019-01-04,7A,1783
2019-01-04,8,1622
2019-01-04,9,445
2019-01-04,91,7850
2019-01-04,H2,130
2019-01-04,H3,248
2019-01-04,H4,80
2019-01-04,H5,282
2019-01-05,1,4985
2019-01-05,12,1717
2019-01-05,15A,3542
2019-01-05,2,4858
2019-01-05,3,4714
2019-01-05,4,2233
2019-01-05,53,3260
2019-01-05,53A,4261
2019-01-05,5A,1019
2019-01-05,7,1729
2019-01-05,8,581
2019-01-05,91,4917
2019-01-05,H2,144
2019-01-05,H3,213
2019-01-05,H4,79
2019-01-05,H5,295
2019-01-06,1,4180
2019-01-06,12,1274
2019-01-06,15A,2932
2019-01-06,2,3958
2019-01-06,3,4503
2019-01-06,4,1804
2019-01-06,53,3440
2019-01-06,53A,3058
2019-01-06,5A,920
2019-01-06,7,1421
2019-01-06,8,467
2019-01-06,91,3595
2019-01-06,H2,181
2019-01-06,H3,141
2019-01-06,H4,115
2019-01-06,H5,358
2019-01-07,1,4129
2019-01-07,12,1085
2019-01-07,15A,3257
2019-01-07,2,4551
2019-01-07,3,4899
2019-01-07,4,1733
2019-01-07,53,3718
2019-01-07,53A,4149
2019-01-07,5A,960
2019-01-07,7,1348
2019-01-07,8,592
2019-01-07,91,2869
2019-01-07,H2,286
2019-01-07,H3,275
2019-01-07,H4,95
2019-01-07,H5,327
2019-01-08,1,5159
2019-01-08,10,2085
2019-01-08,12,1557
2019-01-08,15A,3839
2019-01-08,2,6495
2019-01-08,3,6707
2019-01-08,4,3265
2019-01-08,4A,687
2019-01-08,53,5572
2019-01-08,53A,6525
2019-01-08,5A,2889
2019-01-08,6,300
2019-01-08,7A,1711
2019-01-08,8,1337
2019-01-08,9,551
2019-01-08,91,6971
2019-01-08,H2,206
2019-01-08,H3,162
2019-01-08,H4,70
2019-01-08,H5,258
2019-01-09,1,5661
2019-01-09,10,2165
2019-01-09,12,1580
2019-01-09,15A,4286
2019-01-09,2,6461
2019-01-09,3,6078
2019-01-09,4,3196
2019-01-09,4A,984
2019-01-09,53,5642
2019-01-09,53A,6333
2019-01-09,53C,110
2019-01-09,5A,2432
2019-01-09,6,408
2019-01-09,7,165
2019-01-09,7A,1456
2019-01-09,8,1643
2019-01-09,9,577
2019-01-09,91,7820
2019-01-09,H2,172
2019-01-09,H3,162
2019-01-09,H4,189
2019-01-09,H5,197
2019-01-10,1,5720
2019-01-10,10,2279
2019-01-10,12,907
2019-01-10,15A,4432
2019-01-10,2,6255
2019-01-10,3,6099
2019-01-10,4,3722
2019-01-10,4A,612
2019-01-10,53,5815
2019-01-10,53A,6719
2019-01-10,53C,56
2019-01-10,5A,2800
2019-01-10,6,397
2019-01-10,7A,1468
2019-01-10,8,1563
2019-01-10,9,592
2019-01-10,91,7743
2019-01-10,H2,165
2019-01-10,H3,90
2019-01-10,H4,139
2019-01-10,H5,273
2019-01-11,1,5617
2019-01-11,10,2201
2019-01-11,12,1197
2019-01-11,15A,4410
2019-01-11,2,6079
2019-01-11,3,5909
2019-01-11,4,3595
2019-01-11,4A,936
2019-01-11,53,6458
2019-01-11,53A,6458
2019-01-11,53C,102
2019-01-11,5A,3447
2019-01-11,6,364
2019-01-11,7A,1926
2019-01-11,8,1711
2019-01-11,9,527
2019-01-11,91,7878
2019-01-11,H2,152
2019-01-11,H3,204
2019-01-11,H4,79
2019-01-11,H5,290
2019-01-12,1,4907
2019-01-12,12,1439
2019-01-12,15A,3937
2019-01-12,2,5043
2019-01-12,3,5506
2019-01-12,4,2429
2019-01-12,53,4026
2019-01-12,53A,4076
2019-01-12,5A,1076
2019-01-12,7,1743
2019-01-12,8,531
2019-01-12,91,4865
2019-01-12,H2,163
2019-01-12,H3,224
2019-01-12,H4,87
2019-01-12,H5,342
2019-01-13,1,4435
2019-01-13,12,1529
2019-01-13,15A,3701
2019-01-13,2,4672
2019-01-13,3,4220
2019-01-13,4,1831
2019-01-13,53,3868
2019-01-13,53A,3881
2019-01-13,5A,1165
2019-01-13,7,1762
2019-01-13,8,417
2019-01-13,91,4215
2019-01-13,H2,195
2019-01-13,H3,210
2019-01-13,H4,97
2019-01-13,H5,346
2019-01-14,1,6680
2019-01-14,10,2407
2019-01-14,12,1488
2019-01-14,15A,4875
2019-01-14,2,7059
2019-01-14,3,6689
2019-01-14,4,3772
2019-01-14,4A,1307
2019-01-14,53,6913
2019-01-14,53A,6490
2019-01-14,53C,164
2019-01-14,5A,3926
2019-01-14,6,402
2019-01-14,7,196
2019-01-14,7A,1933
2019-01-14,8,1989
2019-01-14,9,703
2019-01-14,91,8429
2019-01-14,H2,136
2019-01-14,H3,161
2019-01-14,H4,76
2019-01-14,H5,322
2019-01-15,1,6276
2019-01-15,10,2443
2019-01-15,12,1362
2019-01-15,15A,5558
2019-01-15,2,7102
2019-01-15,3,7446
2019-01-15,4,3656
2019-01-15,4A,1232
