"i","n","d","x","y","tk","route"
277,"пл. Перемоги",0,28.6592,50.257448,"tram","Трамвай"
33107,"вул. Покровська",0,28.66131,50.259779,"tram","Трамвай"
211,"вул. Небесної сотні",0,28.666742,50.26122,"tram","Трамвай"
213,"вул. Київська",0,28.668966,50.258366,"tram","Трамвай"
215,"вул. Бориса Лятошинського",0,28.670645,50.256228,"tram","Трамвай"
32947,"вул. Бориса Тена",0,28.672757,50.254337,"tram","Трамвай"
32948,"вул. Князів Острозьких",0,28.678951,50.256326,"tram","Трамвай"
32951,"вул. Михайла Грушевського",0,28.68274,50.257538,"tram","Трамвай"
224,"вул. Східна",0,28.686915,50.258068,"tram","Трамвай"
226,"вул. Шевченка",0,28.689045,50.255387,"tram","Трамвай"
228,"вул. Корольова",0,28.690738,50.253065,"tram","Трамвай"
230,"Ботанічний сад (на вимогу)",0,28.697542,50.252823,"tram","Трамвай"
232,"вул. Вітрука",0,28.704503,50.252601,"tram","Трамвай"
233,"пров. Шкільний",0,28.709154,50.25267,"tram","Трамвай"
32940,"Хінчанка",0,28.718101,50.250994,"tram","Трамвай"
32937,"ПАТ ""Верстатуніверсалмаш""",0,28.722374,50.250152,"tram","Трамвай"
252,"вул. Сергія Параджанова",0,28.727304,50.249699,"tram","Трамвай"
32626,"на вимогу",0,28.727411,50.247005,"tram","Трамвай"
276,"Льонокомбінат",0,28.727352,50.245514,"tram","Трамвай"
32930,"Льонокомбінат",1,28.727517,50.245077,"tram","Трамвай"
235,"вул. Корольова",1,28.727479,50.249846,"tram","Трамвай"
32936,"ПАТ ""Верстатуніверсалмаш""",1,28.722331,50.250393,"tram","Трамвай"
32941,"Хінчанка",1,28.71779,50.251239,"tram","Трамвай"
234,"пров. Шкільний",1,28.708607,50.252797,"tram","Трамвай"
231,"вул. Вітрука",1,28.703838,50.252763,"tram","Трамвай"
229,"Ботанічний сад (на вимогу)",1,28.698146,50.252944,"tram","Трамвай"
227,"вул. Східна",1,28.69091,50.253298,"tram","Трамвай"
225,"вул. Шевченка",1,28.689105,50.255605,"tram","Трамвай"
223,"вул. Бориса Тена",1,28.685669,50.258661,"tram","Трамвай"
32953,"вул. Михайла Грушевського (на вимогу)",1,28.683034,50.257786,"tram","Трамвай"
219,"вул. Князів Острозьких",1,28.679443,50.256645,"tram","Трамвай"
218,"вул. Хлібна",1,28.675741,50.255405,"tram","Трамвай"
216,"вул. Небесної сотні",1,28.672115,50.25452,"tram","Трамвай"
32943,"вул. Київська",1,28.669475,50.257876,"tram","Трамвай"
32945,"вул. Михайла Грушевського",1,28.666772,50.261358,"tram","Трамвай"
210,"вул. Покровська",1,28.662168,50.260258,"tram","Трамвай"
278,"пл. Перемоги",1,28.658779,50.257885,"tram","Трамвай"
277,"пл. Перемоги",1,28.6592,50.257448,"tram","Трамвай"
141,"Гідропарк",0,28.61313,50.23915,"trol","9"
140,"вул. Чумацький шлях",0,28.620333,50.243347,"trol","9"
137,"спорткомплекс ""Динамо""",0,28.623116,50.244331,"trol","9"
136,"завод ""Агромаш""",0,28.631027,50.245129,"trol","9"
134,"Державний технологiчний університет",0,28.636324,50.245251,"trol","9"
132,"Торгівельно-економічний коледж",0,28.639963,50.245165,"trol","9"
130,"Монумент Слави",0,28.646235,50.245068,"trol","9"
127,"вул. Дмитра Донцова",0,28.65757,50.251484,"trol","9"
198,"Філармонія",0,28.664462,50.248822,"trol","9"
196,"Спорткомплекс",0,28.668076,50.247611,"trol","9"
246,"Лікарні",0,28.67383,50.245609,"trol","9"
194,"Обласна лікарня",0,28.677,50.247189,"trol","9"
33,"вул. Довженка",0,28.681618,50.246518,"trol","9"
34,"вул. Гагаріна",0,28.685055,50.244705,"trol","9"
37,"вул. Жуйка",0,28.688416,50.242691,"trol","9"
40,"пров. 3-й Магазинний",0,28.692438,50.240007,"trol","9"
41,"пл. Смолянська",0,28.695212,50.238206,"trol","9"
43,"вул. Лук’яненка",0,28.700669,50.237912,"trol","9"
47,"вул. Івана Огієнка",0,28.702435,50.242229,"trol","9"
50,"майдан Польовий",0,28.703865,50.247322,"trol","9"
191,"вул. Космонавтів",0,28.710377,50.246708,"trol","9"
191,"вул. Космонавтів",1,28.710377,50.246708,"trol","9"
189,"вул. Кибальчича",1,28.709431,50.241873,"trol","9"
187,"вул. Селецька",1,28.708189,50.237716,"trol","9"
188,"вул. Вітрука",1,28.702998,50.237977,"trol","9"
42,"пл. Смолянська",1,28.696663,50.237862,"trol","9"
39,"пров. 3-й Магазинний",1,28.692189,50.240374,"trol","9"
35,"вул. Гагаріна",1,28.685864,50.244459,"trol","9"
32,"вул. Довженка",1,28.680824,50.247169,"trol","9"
193,"вул. Шевченка",1,28.677579,50.248201,"trol","9"
245,"Лікарні",1,28.673456,50.245895,"trol","9"
195,"Старий Бульвар",1,28.667462,50.248006,"trol","9"
197,"Філармонія",1,28.663931,50.249241,"trol","9"
128,"вул. Леха Качинського",1,28.658117,50.252541,"trol","9"
129,"Монумент Слави",1,28.647299,50.24522,"trol","9"
131,"Торгівельно-економічний коледж",1,28.641049,50.245369,"trol","9"
133,"Державний технологiчний університет",1,28.6359,50.245411,"trol","9"
135,"завод ""Агромаш""",1,28.63196,50.245423,"trol","9"
138,"спорткомплекс ""Динамо""",1,28.626276,50.24482,"trol","9"
139,"вул. Чумацький шлях",1,28.621372,50.24427,"trol","9"
141,"Гідропарк",1,28.61313,50.23915,"trol","9"
93,"Ресторан ""Ялинка""",0,28.593744,50.285736,"trol","10"
92,"вул. Офіцерська",0,28.601887,50.284491,"trol","10"
90,"Житичі",0,28.607642,50.283453,"trol","10"
86,"вул. Романа Шухевича",0,28.611977,50.282639,"trol","10"
85,"вул. Героїв Десантників",0,28.61828,50.281486,"trol","10"
82,"Панчішна фабрика",0,28.631087,50.279235,"trol","10"
80,"ринок ""Хмільники""",0,28.636594,50.278265,"trol","10"
79,"майдан Визволення",0,28.641054,50.277465,"trol","10"
154,"пр. Незалежності",0,28.648818,50.275663,"trol","10"
151,"вул. Покровська",0,28.658809,50.273948,"trol","10"
149,"Ремпобуттехніка",0,28.66693,50.272607,"trol","10"
148,"Автоколона",0,28.672176,50.272415,"trol","10"
143,"Автопарк",0,28.674998,50.272767,"trol","10"
144,"вул. Монтана",0,28.679291,50.26759,"trol","10"
146,"вул. Східна",0,28.680592,50.266003,"trol","10"
4,"майдан Згоди",0,28.683226,50.263958,"trol","10"
6,"ТЦ ""Глобал""",0,28.68699,50.265586,"trol","10"
2,"Автовокзал",0,28.692022,50.267689,"trol","10"
239,"вул. Нобелівська",0,28.700989,50.271633,"trol","10"
162,"вул. Сергія Параджанова",0,28.704216,50.272068,"trol","10"
165,"на вимогу",0,28.70734,50.269844,"trol","10"
166,"Тарний комбінат",0,28.710674,50.267541,"trol","10"
169,"вул. Кооперативна",0,28.714448,50.264891,"trol","10"
170,"вул. Металістів",0,28.718721,50.261852,"trol","10"
180,"ЗОК",0,28.721912,50.259636,"trol","10"
185,"завод ""Вібросепаратор""",0,28.725751,50.25687,"trol","10"
177,"вул. Корольова",0,28.728567,50.249986,"trol","10"
174,"""Домобудівник""",0,28.733374,50.249504,"trol","10"
172,"вул. Промислова",0,28.739372,50.24889,"trol","10"
411,"ПАТ ""Хімволокно""",0,28.740582,50.248131,"trol","10"
413,"Завод ізоляційних матеріалів",0,28.73925,50.243747,"trol","10"
415,"Прикордонна частина",0,28.738232,50.240135,"trol","10"
416,"Біомедскло",0,28.737134,50.235507,"trol","10"
416,"Біомедскло",1,28.737134,50.235507,"trol","10"
414,"Прикордонна частина",1,28.738333,50.239689,"trol","10"
412,"Завод ізоляційних матеріалів",1,28.739412,50.243557,"trol","10"
410,"ПАТ ""Хімволокно""",1,28.740795,50.248264,"trol","10"
173,"вул. Промислова",1,28.740372,50.248894,"trol","10"
175,"""Домобудівник""",1,28.735048,50.249481,"trol","10"
178,"вул. Сергія Параджанова",1,28.728388,50.250204,"trol","10"
184,"завод ""Вібросепаратор""",1,28.72497,50.257713,"trol","10"
179,"ЗОК",1,28.721199,50.260434,"trol","10"
171,"вул. Металістів",1,28.718313,50.262379,"trol","10"
168,"вул. Кооперативна",1,28.714967,50.26481,"trol","10"
167,"Тарний комбінат",1,28.711693,50.266987,"trol","10"
164,"на вимогу",1,28.70797,50.269612,"trol","10"
163,"вул. Новогоголівська",1,28.705044,50.271664,"trol","10"
240,"ш. Київське",1,28.701113,50.271955,"trol","10"
1,"Автовокзал",1,28.691544,50.267811,"trol","10"
7,"ТЦ ""Глобал""",1,28.68554,50.265249,"trol","10"
3,"майдан Згоди",1,28.682362,50.264343,"trol","10"
145,"вул. Монтана",1,28.680011,50.266999,"trol","10"
142,"Автопарк",1,28.675659,50.272282,"trol","10"
147,"Автоколона",1,28.673885,50.273174,"trol","10"
5605,"вул. Отаманів Соколовських",1,28.667431,50.272878,"trol","10"
152,"вул. Покровська",1,28.657228,50.274429,"trol","10"
153,"пл. Визволення",1,28.64849,50.276037,"trol","10"
78,"пр. Миру",1,28.640827,50.277788,"trol","10"
81,"ринок ""Хмільники""",1,28.636152,50.27862,"trol","10"
83,"Панчішна фабрика",1,28.632519,50.279267,"trol","10"
84,"вул. Героїв Десантників",1,28.618149,50.281846,"trol","10"
87,"вул. Романа Шухевича",1,28.612862,50.282807,"trol","10"
88,"вул. Миру",1,28.609912,50.283327,"trol","10"
89,"Житичі",1,28.607063,50.283859,"trol","10"
91,"вул. Офіцерська",1,28.601766,50.284839,"trol","10"
93,"Ресторан ""Ялинка""",1,28.593744,50.285736,"trol","10"
118,"м/н Крошня",0,28.657448,50.29623,"trol","12"
116,"вул. Гранітна",0,28.656267,50.292754,"trol","12"
114,"вул. Чеська Крошня",0,28.655752,50.290436,"trol","12"
113,"вул. Северина Наливайка",0,28.655054,50.289112,"trol","12"
110,"Стоматологічна поліклініка",0,28.655209,50.284859,"trol","12"
108,"Агротехнічний коледж",0,28.655743,50.281506,"trol","12"
107,"вул. Героїв Чорнобиля",0,28.656681,50.278229,"trol","12"
105,"пр. Незалежності",0,28.657728,50.275143,"trol","12"
103,"пров. 2-й Капітульний",0,28.657711,50.272487,"trol","12"
102,"Сінний ринок",0,28.657507,50.268925,"trol","12"
98,"вул. Лесі Українки",0,28.658368,50.264463,"trol","12"
96,"вул. Покровська",0,28.661873,50.259651,"trol","12"
123,"вул. Львівська",0,28.664162,50.258446,"trol","12"
13,"вул. Небесної сотні",0,28.668436,50.257862,"trol","12"
13,"вул. Небесної сотні",1,28.668436,50.257862,"trol","12"
94,"вул. Львівська",1,28.662958,50.25861,"trol","12"
97,"вул. Покровська",1,28.661357,50.260779,"trol","12"
99,"вул. Лесі Українки",1,28.658463,50.265039,"trol","12"
101,"Сінний ринок",1,28.657776,50.26922,"trol","12"
104,"пров. 2-й Капітульний",1,28.657942,50.273083,"trol","12"
106,"пр. Незалежності",1,28.658119,50.27486,"trol","12"
27780,"вул. Героїв Чорнобиля",1,28.656693,50.278912,"trol","12"
109,"Агротехнічний коледж",1,28.656219,50.281234,"trol","12"
111,"Стоматологічна поліклініка",1,28.655584,50.285175,"trol","12"
112,"вул. Северина Наливайка",1,28.655837,50.289788,"trol","12"
115,"вул. Гранітна",1,28.6567,50.29332,"trol","12"
118,"м/н Крошня",1,28.657448,50.29623,"trol","12"
141,"Гідропарк",0,28.61313,50.23915,"trol","15A"
140,"вул. Чумацький шлях",0,28.620333,50.243347,"trol","15A"
137,"спорткомплекс ""Динамо""",0,28.623116,50.244331,"trol","15A"
136,"завод ""Агромаш""",0,28.631027,50.245129,"trol","15A"
134,"Державний технологiчний університет",0,28.636324,50.245251,"trol","15A"
132,"Торгівельно-економічний коледж",0,28.639963,50.245165,"trol","15A"
130,"Монумент Слави",0,28.646235,50.245068,"trol","15A"
127,"вул. Дмитра Донцова",0,28.65757,50.251484,"trol","15A"
126,"вул. Театральна",0,28.661564,50.252558,"trol","15A"
21,"Телецентр",0,28.661304,50.254684,"trol","15A"
15,"Михайлівський собор",0,28.661782,50.256109,"trol","15A"
33006,"Укртелеком",0,28.665497,50.256946,"trol","15A"
14,"вул. Небесної сотні",0,28.670147,50.258396,"trol","15A"
9,"вул. Князів Острозьких",0,28.677158,50.261426,"trol","15A"
4,"майдан Згоди",0,28.683226,50.263958,"trol","15A"
6,"ТЦ ""Глобал""",0,28.68699,50.265586,"trol","15A"
417,"Автовокзал",0,28.692698,50.268009,"trol","15A"
61,"пл. Привокзальна",0,28.697631,50.267671,"trol","15A"
58,"вул. Гоголівська",0,28.70104,50.265133,"trol","15A"
56,"вул. Шевченка",0,28.702777,50.259188,"trol","15A"
55,"ТЦ ""Фуршет""",0,28.702976,50.255966,"trol","15A"
51,"вул. Корольова",0,28.703106,50.252163,"trol","15A"
50,"майдан Польовий",0,28.703865,50.247322,"trol","15A"
191,"вул. Космонавтів",0,28.710377,50.246708,"trol","15A"
191,"вул. Космонавтів",1,28.710377,50.246708,"trol","15A"
189,"вул. Кибальчича",1,28.709431,50.241873,"trol","15A"
187,"вул. Селецька",1,28.708189,50.237716,"trol","15A"
188,"вул. Вітрука",1,28.702998,50.237977,"trol","15A"
47,"вул. Івана Огієнка",1,28.702435,50.242229,"trol","15A"
49,"майдан Польовий",1,28.70322,50.247749,"trol","15A"
52,"вул. Корольова",1,28.703423,50.251376,"trol","15A"
54,"ТЦ ""Фуршет""",1,28.703238,50.25668,"trol","15A"
57,"вул. Шевченка",1,28.703255,50.258446,"trol","15A"
59,"вул. Гоголівська",1,28.700586,50.265796,"trol","15A"
60,"Залізничний вокзал",1,28.696846,50.269135,"trol","15A"
1,"Автовокзал",1,28.691544,50.267811,"trol","15A"
