stop_id,route,direction,geometry
313,1,0,"{""type"":""LineString"",""coordinates"":[[28.6968,50.2691],[28.6967,50.2692],[28.6963,50.2694],[28.6961,50.2696],[28.6959,50.2698],[28.6959,50.2698],[28.6958,50.2698],[28.6957,50.2699],[28.6956,50.2699],[28.6955,50.2699],[28.6954,50.2699],[28.6953,50.2699],[28.6952,50.2698],[28.6951,50.2698],[28.6949,50.2696],[28.6946,50.2694],[28.6941,50.2689],[28.6938,50.2687],[28.6937,50.2687],[28.6936,50.2686],[28.6935,50.2685],[28.6934,50.2685],[28.693,50.2683],[28.6928,50.2682],[28.6927,50.2681],[28.6926,50.2681],[28.6924,50.268],[28.6919,50.2678],[28.6917,50.2677],[28.6916,50.2677]]}"
314,1,0,"{""type"":""LineString"",""coordinates"":[[28.6916,50.2677],[28.6915,50.2676],[28.6912,50.2675],[28.6911,50.2675],[28.6907,50.2673],[28.6902,50.2671],[28.6894,50.2667],[28.6894,50.2667],[28.6893,50.2667],[28.6889,50.2665],[28.6889,50.2665],[28.6888,50.2665],[28.6884,50.2664],[28.6865,50.2655],[28.6864,50.2655],[28.6863,50.2655],[28.6856,50.2652],[28.6856,50.2652]]}"
315,1,0,"{""type"":""LineString"",""coordinates"":[[28.6856,50.2652],[28.6847,50.2648],[28.6845,50.2647],[28.6842,50.2646],[28.6841,50.2645],[28.6835,50.2643],[28.6827,50.264],[28.6827,50.264],[28.6825,50.2639],[28.6823,50.2638],[28.6823,50.2637],[28.6822,50.2637],[28.6821,50.2637],[28.6821,50.2636]]}"
316,1,0,"{""type"":""LineString"",""coordinates"":[[28.6821,50.2636],[28.6814,50.2634],[28.6813,50.2633],[28.6803,50.2629],[28.6802,50.2628],[28.6799,50.2627],[28.6795,50.2625],[28.6792,50.2624],[28.6792,50.2624],[28.6786,50.2621],[28.6782,50.262],[28.6776,50.2617],[28.6774,50.2616],[28.6771,50.2615],[28.6766,50.2613],[28.6758,50.2609],[28.6754,50.2608],[28.6754,50.2608]]}"
317,1,0,"{""type"":""LineString"",""coordinates"":[[28.6754,50.2608],[28.6748,50.2605],[28.6743,50.2603],[28.6736,50.26],[28.6735,50.26],[28.6735,50.2599]]}"
318,1,0,"{""type"":""LineString"",""coordinates"":[[28.6735,50.2599],[28.6728,50.2596],[28.6723,50.2594],[28.6713,50.259],[28.6705,50.2587],[28.6701,50.2585],[28.6697,50.2583],[28.6695,50.2582],[28.6694,50.2582],[28.6692,50.2581],[28.6685,50.2578],[28.6685,50.2578]]}"
319,1,0,"{""type"":""LineString"",""coordinates"":[[28.6685,50.2578],[28.6678,50.2575],[28.6674,50.2574],[28.6668,50.2573],[28.666,50.2571],[28.6655,50.257],[28.6642,50.2568],[28.6638,50.2568],[28.6633,50.2567],[28.6633,50.2567],[28.6633,50.2566]]}"
320,1,0,"{""type"":""LineString"",""coordinates"":[[28.6633,50.2566],[28.6631,50.2566],[28.6629,50.2565],[28.6628,50.2565],[28.6628,50.2565],[28.6624,50.2564],[28.662,50.2563],[28.6617,50.2562],[28.6607,50.2559],[28.6608,50.2556],[28.6609,50.2553]]}"
321,1,0,"{""type"":""LineString"",""coordinates"":[[28.6609,50.2553],[28.661,50.2553],[28.6611,50.2549],[28.6612,50.2547],[28.6613,50.2545],[28.6614,50.2542],[28.6614,50.2541],[28.6615,50.254],[28.6615,50.2539],[28.6623,50.2538],[28.6636,50.2537],[28.6638,50.2537],[28.664,50.2537],[28.6643,50.2537],[28.6654,50.2536],[28.6658,50.2535],[28.6662,50.2535],[28.6662,50.2535]]}"
322,1,0,"{""type"":""LineString"",""coordinates"":[[28.6662,50.2535],[28.6662,50.2535],[28.6663,50.2535],[28.6664,50.2534],[28.6665,50.2534],[28.6667,50.2533],[28.6668,50.2533],[28.6669,50.2532],[28.6671,50.2531],[28.6682,50.2525],[28.6692,50.252],[28.6694,50.2519],[28.6697,50.2518],[28.6699,50.2517],[28.6701,50.2515],[28.6705,50.2514]]}"
