"id","route","direction","priority","name","index","fraction","next_fraction"
444,"1",0,4,"вул. Князів Острозьких",8,0.198311936035107,0.215597399137613
445,"1",0,5,"вул. Хлібна",11,0.215597399137613,0.261197849516172
446,"1",0,6,"вул. Небесної сотні",13,0.261197849516172,0.305333000112803
447,"1",0,7,"Кінотеатр ""Україна""",16,0.305333000112803,0.333028918726944
448,"1",0,8,"вул. Театральна",20,0.333028918726944,0.385521152640149
449,"1",0,9,"пл. Корольова",23,0.385521152640149,0.425684152880833
450,"1",0,10,"Старий Бульвар",27,0.425684152880833,0.464223085153302
451,"1",0,11,"Університет ім. Івана Франка",28,0.464223085153302,0.527599467372967
452,"1",0,12,"вул. Довженка",33,0.527599467372967,0.560093765890244
453,"1",0,13,"вул. Гагаріна",34,0.560093765890244,0.592931189327847
454,"1",0,14,"вул. Жуйка",37,0.592931189327847,0.63334235105082
455,"1",0,15,"пров. 3-й Магазинний",40,0.63334235105082,0.660948261779403
456,"1",0,16,"пл. Смолянська",41,0.660948261779403,0.708012498169492
457,"1",0,17,"вул. Лук’яненка",43,0.708012498169492,0.75316905016709
458,"1",0,18,"вул. Івана Огієнка",47,0.75316905016709,0.799810561735194
459,"1",0,19,"майдан Польовий",49,0.799810561735194,0.829997621789545
460,"1",0,20,"вул. Корольова",52,0.829997621789545,0.874390796033596
462,"1",0,22,"вул. Шевченка",57,0.889147019074123,0.958478833233903
463,"1",0,23,"вул. Гоголівська",59,0.958478833233903,0.999787250164714
464,"1",0,24,"Залізничний вокзал",617,0.999787250164714,1
465,"1",1,0,"Залізничний вокзал",617,0,0.0296275444076263
466,"1",1,1,"пл. Привокзальна",61,0.0296275444076263,0.0642111533643541
467,"1",1,2,"вул. Гоголівська",58,0.0642111533643541,0.119412351203813
468,"1",1,3,"вул. Шевченка",56,0.119412351203813,0.145648292562412
469,"1",1,4,"ТЦ ""Фуршет""",55,0.145648292562412,0.176609259344442
470,"1",1,5,"вул. Корольова",51,0.176609259344442,0.221577462405869
471,"1",1,6,"майдан Польовий",48,0.221577462405869,0.247459192611619
472,"1",1,7,"на вимогу",32927,0.247459192611619,0.270940254606016
473,"1",1,8,"вул. Івана Огієнка",46,0.270940254606016,0.334966629809789
474,"1",1,9,"пл. Смолянська",42,0.334966629809789,0.377303892620547
475,"1",1,10,"пров. 3-й Магазинний",39,0.377303892620547,0.438543190135669
476,"1",1,11,"вул. Гагаріна",35,0.438543190135669,0.485093396397414
477,"1",1,12,"вул. Довженка",32,0.485093396397414,0.520653957481985
478,"1",1,13,"Університет ім. Івана Франка",30,0.520653957481985,0.585589758876801
479,"1",1,14,"Старий Бульвар",25,0.585589758876801,0.632874056161709
480,"1",1,15,"пл. Корольова",24,0.632874056161709,0.660198527694968
481,"1",1,16,"Телецентр",21,0.660198527694968,0.679987472009799
482,"1",1,17,"Михайлівський собор",15,0.679987472009799,0.711119020274658
483,"1",1,18,"Укртелеком",33006,0.711119020274658,0.750782878874296
484,"1",1,19,"вул. Небесної сотні",14,0.750782878874296,0.812928038061422
485,"1",1,20,"вул. Князів Острозьких",9,0.812928038061422,0.866497246821289
486,"1",1,21,"майдан Згоди",4,0.866497246821289,0.899871926035048
487,"1",1,22,"ТЦ ""Глобал""",6,0.899871926035048,0.950324817259666
488,"1",1,23,"Автовокзал",417,0.950324817259666,1
489,"1",1,24,"Залізничний вокзал",60,1,1
80,"10",0,0,"Ресторан ""Ялинка""",93,0,0.0463779623671632
81,"10",0,1,"вул. Офіцерська",92,0.0463779623671632,0.0789323262390279
82,"10",0,2,"Житичі",90,0.0789323262390279,0.103497915208388
83,"10",0,3,"вул. Романа Шухевича",86,0.103497915208388,0.139182960582127
84,"10",0,4,"вул. Героїв Десантників",85,0.139182960582127,0.211605470544897
85,"10",0,5,"Панчішна фабрика",82,0.211605470544897,0.242750493995294
86,"10",0,6,"ринок ""Хмільники""",80,0.242750493995294,0.268070309228006
87,"10",0,7,"майдан Визволення",79,0.268070309228006,0.312465787848962
88,"10",0,8,"пр. Незалежності",154,0.312465787848962,0.368874904970365
89,"10",0,9,"вул. Покровська",151,0.368874904970365,0.414742302366705
90,"10",0,10,"Ремпобуттехніка",149,0.414742302366705,0.443979807371713
91,"10",0,11,"Автоколона",148,0.443979807371713,0.462072841106415
92,"10",0,12,"Автопарк",143,0.462072841106415,0.499513821695072
93,"10",0,13,"вул. Монтана",144,0.499513821695072,0.510957691830147
94,"10",0,14,"вул. Східна",146,0.510957691830147,0.531286386743784
95,"10",0,15,"майдан Згоди",4,0.531286386743784,0.554128508946277
96,"10",0,16,"ТЦ ""Глобал""",6,0.554128508946277,0.584528217591128
97,"10",0,17,"Автовокзал",2,0.584528217591128,0.639157205011941
98,"10",0,18,"вул. Нобелівська",239,0.639157205011941,0.659787201594424
99,"10",0,19,"вул. Сергія Параджанова",162,0.659787201594424,0.681138888975397
100,"10",0,20,"на вимогу",165,0.681138888975397,0.703705612529712
101,"10",0,21,"Тарний комбінат",166,0.703705612529712,0.729377415426672
102,"10",0,22,"вул. Кооперативна",169,0.729377415426672,0.758596227054039
103,"10",0,23,"вул. Металістів",170,0.758596227054039,0.780230559925551
104,"10",0,24,"ЗОК",180,0.780230559925551,0.806634876607678
105,"10",0,25,"завод ""Вібросепаратор""",185,0.806634876607678,0.852868390838512
106,"10",0,26,"вул. Корольова",177,0.852868390838512,0.87977274045394
107,"10",0,27,"""Домобудівник""",174,0.87977274045394,0.913353249770211
108,"10",0,28,"вул. Промислова",172,0.913353249770211,0.925603112793389
109,"10",0,29,"ПАТ ""Хімволокно""",411,0.925603112793389,0.95111599630375
110,"10",0,30,"Завод ізоляційних матеріалів",413,0.95111599630375,0.972009358578213
111,"10",0,31,"Прикордонна частина",415,0.972009358578213,0.998460573356365
112,"10",0,32,"Біомедскло",416,0.998460573356365,1
113,"10",1,0,"Біомедскло",416,0.000143055201170353,0.0241972345628996
114,"10",1,1,"Прикордонна частина",414,0.0241972345628996,0.0464164959489004
115,"10",1,2,"Завод ізоляційних матеріалів",412,0.0464164959489004,0.0735600485309024
116,"10",1,3,"ПАТ ""Хімволокно""",410,0.0735600485309024,0.0791924229149547
117,"10",1,4,"вул. Промислова",173,0.0791924229149547,0.10882039804364
118,"10",1,5,"""Домобудівник""",175,0.10882039804364,0.145879876434008
119,"10",1,6,"вул. Сергія Параджанова",178,0.145879876434008,0.196962625561287
120,"10",1,7,"завод ""Вібросепаратор""",184,0.196962625561287,0.222687268048609
121,"10",1,8,"ЗОК",179,0.222687268048609,0.241943030611283
122,"10",1,9,"вул. Металістів",171,0.241943030611283,0.264790164271237
123,"10",1,10,"вул. Кооперативна",168,0.264790164271237,0.286568031949246
124,"10",1,11,"Тарний комбінат",167,0.286568031949246,0.311766690560354
125,"10",1,12,"на вимогу",164,0.311766690560354,0.331542142979779
126,"10",1,13,"вул. Новогоголівська",163,0.331542142979779,0.355720663894662
127,"10",1,14,"ш. Київське",240,0.355720663894662,0.413470799012564
128,"10",1,15,"Автовокзал",1,0.413470799012564,0.449619826055735
129,"10",1,16,"ТЦ ""Глобал""",7,0.449619826055735,0.470252795706426
130,"10",1,17,"майдан Згоди",3,0.470252795706426,0.489836653910672
131,"10",1,18,"вул. Монтана",145,0.489836653910672,0.527698268172464
132,"10",1,19,"Автопарк",142,0.527698268172464,0.540211324347857
133,"10",1,20,"Автоколона",147,0.540211324347857,0.576738377984328
134,"10",1,21,"вул. Отаманів Соколовських",5605,0.576738377984328,0.633901984378741
135,"10",1,22,"вул. Покровська",152,0.633901984378741,0.683126754872903
136,"10",1,23,"пл. Визволення",153,0.683126754872903,0.726685444732063
137,"10",1,24,"пр. Миру",78,0.726685444732063,0.752948640554546
138,"10",1,25,"ринок ""Хмільники""",81,0.752948640554546,0.773367361999484
139,"10",1,26,"Панчішна фабрика",83,0.773367361999484,0.854144721305117
140,"10",1,27,"вул. Героїв Десантників",84,0.854144721305117,0.883873917915823
141,"10",1,28,"вул. Романа Шухевича",87,0.883873917915823,0.900443769993419
142,"10",1,29,"вул. Миру",88,0.900443769993419,0.916486730265752
143,"10",1,30,"Житичі",89,0.916486730265752,0.946288979630689
144,"10",1,31,"вул. Офіцерська",91,0.946288979630689,0.999810387938018
145,"10",1,32,"Ресторан ""Ялинка""",93,0.999810387938018,1
1827,"102",0,0,"Залізничний вокзал",617,0,0.0464787895889698
1828,"102",0,1,"Автовокзал",1,0.0464787895889698,0.0915513402386582
1829,"102",0,2,"ТЦ ""Глобал""",7,0.0915513402386582,0.13124349432996
1830,"102",0,3,"вул. Івана Мазепи",10,0.13124349432996,0.182496202706241
1831,"102",0,4,"вул. Хлібна",11,0.182496202706241,0.220131146048457
1832,"102",0,5,"вул. Небесної сотні",13,0.220131146048457,0.256556748829026
2580,"H5",0,15,"вул. Мала Бердичівська",125,0.610427711692125,0.631025224381994
1833,"102",0,6,"Кінотеатр ""Україна""",16,0.256556748829026,0.300968825311958
1834,"102",0,7,"готель ""Україна""",17,0.300968825311958,0.326999847021838
1835,"102",0,8,"пл. Перемоги",76,0.326999847021838,0.366777375721719
1836,"102",0,9,"вул. Ольжича",62,0.366777375721719,0.414229255863873
1837,"102",0,10,"вул. Лесі Українки",64,0.414229255863873,0.427326334762137
1838,"102",0,11,"вул. Домбровського",65,0.427326334762137,0.448848050955533
1839,"102",0,12,"вул. Миколи Сціборського",67,0.448848050955533,0.474614117285957
1840,"102",0,13,"вул. Перемоги",69,0.474614117285957,0.530828743755146
1841,"102",0,14,"пр. Миру",78,0.530828743755146,0.563575108477989
1842,"102",0,15,"ринок ""Хмільники""",81,0.563575108477989,0.589034268289668
1843,"102",0,16,"Панчішна фабрика",83,0.589034268289668,0.689751823268483
1844,"102",0,17,"вул. Героїв Десантників",84,0.689751823268483,0.726819784140855
1845,"102",0,18,"вул. Романа Шухевича",87,0.726819784140855,0.747479966671725
1846,"102",0,19,"вул. Миру",88,0.747479966671725,0.767483192168834
1847,"102",0,20,"Житичі",89,0.767483192168834,0.804642239143228
1848,"102",0,21,"вул. Офіцерська",91,0.804642239143228,0.855118191915548
1849,"102",0,22,"Ресторан ""Ялинка""",32983,0.855118191915548,0.902836201365876
1850,"102",0,23,"поворот на Довжик",33041,0.902836201365876,0.922298365131989
1851,"102",0,24,"вул. Агрономічна",32982,0.922298365131989,0.962271030640203
1852,"102",0,25,"Кафе",32979,0.962271030640203,0.983937426738933
1853,"102",0,26,"вул. Сінна",32985,0.983937426738933,0.999332115658818
1854,"102",0,27,"с. Довжик (на вимогу)",32978,0.999332115658818,1
1855,"102",1,0,"с. Довжик (на вимогу)",32978,0,0.0179176059008592
1856,"102",1,1,"вул. Сінна",32986,0.0179176059008592,0.034669966434898
1857,"102",1,2,"Кафе",32980,0.034669966434898,0.0799961832217581
1858,"102",1,3,"вул. Агрономічна",32981,0.0799961832217581,0.1044180083456
1859,"102",1,4,"поворот на Довжик",33040,0.1044180083456,0.143684626120722
1860,"102",1,5,"Ресторан ""Ялинка""",32984,0.143684626120722,0.201504572818672
1861,"102",1,6,"вул. Офіцерська",92,0.201504572818672,0.242659895064949
1862,"102",1,7,"Житичі",90,0.242659895064949,0.273715784658828
1863,"102",1,8,"вул. Романа Шухевича",86,0.273715784658828,0.318828923637977
1864,"102",1,9,"вул. Героїв Десантників",85,0.318828923637977,0.410385673053622
1865,"102",1,10,"Панчішна фабрика",82,0.410385673053622,0.449759303007323
1866,"102",1,11,"ринок ""Хмільники""",80,0.449759303007323,0.481768687654493
1867,"102",1,12,"майдан Визволення",79,0.481768687654493,0.543548635249695
1868,"102",1,13,"вул. Перемоги",70,0.543548635249695,0.572248628562145
1869,"102",1,14,"вул. Миколи Сціборського",68,0.572248628562145,0.59073718824077
1870,"102",1,15,"вул. Домбровського",66,0.59073718824077,0.613801112815314
1871,"102",1,16,"майдан Короленка",71,0.613801112815314,0.645659023095313
1872,"102",1,17,"вул. Ольжича",63,0.645659023095313,0.703490046552156
1873,"102",1,18,"пл. Перемоги",74,0.703490046552156,0.727766414221637
1874,"102",1,19,"Михайлівський собор",15,0.727766414221637,0.809832473226421
1875,"102",1,20,"вул. Хлібна",12,0.809832473226421,0.889141966428938
1876,"102",1,21,"майдан Згоди",4,0.889141966428938,0.918019044283465
1877,"102",1,22,"ТЦ ""Глобал""",6,0.918019044283465,0.956450445074959
1878,"102",1,23,"Автовокзал",2,0.956450445074959,0.999820781222529
1879,"102",1,24,"Залізничний вокзал",617,0.999820781222529,1
2273,"104",0,0,"с. Іванівка (104)",33044,0,0.0326236298270142
2274,"104",0,1,"вул. Шевченко",33045,0.0326236298270142,0.0451168560015451
2275,"104",0,2,"пров. Шкільний",33048,0.0451168560015451,0.0764772011559762
2276,"104",0,3,"на вимогу",33052,0.0764772011559762,0.112710734008975
2277,"104",0,4,"вул. Лісова",33050,0.112710734008975,0.175729542532246
2278,"104",0,5,"вул. Садова",33054,0.175729542532246,0.208005081377628
2279,"104",0,6,"с. Іванівка",33043,0.208005081377628,0.253268878179907
2280,"104",0,7,"вул. Сінна",33038,0.253268878179907,0.289111511450988
2281,"104",0,8,"поворот на Довжик",33040,0.289111511450988,0.311177068077856
2282,"104",0,9,"Ресторан ""Ялинка""",32984,0.311177068077856,0.343668517057058
2283,"104",0,10,"вул. Офіцерська",92,0.343668517057058,0.366795415806601
2284,"104",0,11,"Житичі",90,0.366795415806601,0.38424702048404
2285,"104",0,12,"вул. Романа Шухевича",86,0.38424702048404,0.40959798217015
2286,"104",0,13,"вул. Героїв Десантників",85,0.40959798217015,0.461047553161287
2287,"104",0,14,"Панчішна фабрика",82,0.461047553161287,0.483173244411914
2288,"104",0,15,"ринок ""Хмільники""",80,0.483173244411914,0.501160657882775
2289,"104",0,16,"майдан Визволення",79,0.501160657882775,0.535877397171959
2290,"104",0,17,"вул. Перемоги",70,0.535877397171959,0.552005125087142
2291,"104",0,18,"вул. Миколи Сціборського",68,0.552005125087142,0.562394620889259
2292,"104",0,19,"вул. Домбровського",66,0.562394620889259,0.57535520579759
2293,"104",0,20,"майдан Короленка",71,0.57535520579759,0.593257499479283
2294,"104",0,21,"вул. Ольжича",63,0.593257499479283,0.619866726314185
2295,"104",0,22,"пл. Перемоги",77,0.619866726314185,0.632141254211813
2296,"104",0,23,"вул. Леха Качинського",207,0.632141254211813,0.642238932486609
2297,"104",0,24,"вул. Дмитра Донцова",127,0.642238932486609,0.670912599930207
2298,"104",0,25,"Філармонія",463,0.670912599930207,0.690965340265088
2299,"104",0,26,"Діагностичний центр",275,0.690965340265088,0.720360271407567
2300,"104",0,27,"Філармонія",198,0.720360271407567,0.735447015715028
2301,"104",0,28,"Спорткомплекс",196,0.735447015715028,0.759552214691231
2302,"104",0,29,"Лікарні",246,0.759552214691231,0.775843299433044
2303,"104",0,30,"Обласна лікарня",194,0.775843299433044,0.798837118644855
2304,"104",0,31,"вул. Довженка",33,0.798837118644855,0.814219119683753
2305,"104",0,32,"вул. Гагаріна",34,0.814219119683753,0.831905353673771
2306,"104",0,33,"вул. Жуйка",5692,0.831905353673771,0.858957888084826
2307,"104",0,34,"ТЕС",5693,0.858957888084826,0.905677894034658
2308,"104",0,35,"ш. Сквирське",5697,0.905677894034658,0.95612866963601
2309,"104",0,36,"Обласна дитяча лікарня",33056,0.95612866963601,0.987634689525292
2310,"104",0,37,"с. Станишівка",33055,0.987634689525292,1
2311,"104",1,0,"с. Станишівка",33055,0,0.0383179743167789
2312,"104",1,1,"Обласна дитяча лікарня",5698,0.0383179743167789,0.0970810815483149
2313,"104",1,2,"вул. Жуйка",5695,0.0970810815483149,0.130596568477506
2314,"104",1,3,"ТЕС",5694,0.130596568477506,0.173252915006092
2315,"104",1,4,"вул. Гагаріна",27788,0.173252915006092,0.193843834160227
2316,"104",1,5,"вул. Довженка",32990,0.193843834160227,0.200502973457669
2317,"104",1,6,"вул. Довженка",32,0.200502973457669,0.215743771831868
2318,"104",1,7,"вул. Шевченка",193,0.215743771831868,0.239585377649744
2319,"104",1,8,"Лікарні",245,0.239585377649744,0.266089197397789
2320,"104",1,9,"Старий Бульвар",195,0.266089197397789,0.282168134715873
2321,"104",1,10,"Філармонія",197,0.282168134715873,0.316449167926008
2322,"104",1,11,"вул. Театральна",126,0.316449167926008,0.32492730279129
2323,"104",1,12,"Автомобільно-дорожний коледж",45,0.32492730279129,0.34548986833995
2324,"104",1,13,"пл. Перемоги",76,0.34548986833995,0.369542659320197
2325,"104",1,14,"вул. Ольжича",62,0.369542659320197,0.39823599930344
2326,"104",1,15,"вул. Лесі Українки",64,0.39823599930344,0.406155578811975
2327,"104",1,16,"вул. Домбровського",65,0.406155578811975,0.419169392340755
2328,"104",1,17,"вул. Миколи Сціборського",67,0.419169392340755,0.43474969177325
2329,"104",1,18,"вул. Перемоги",69,0.43474969177325,0.468741714523021
2330,"104",1,19,"пр. Миру",78,0.468741714523021,0.488542880955057
2331,"104",1,20,"ринок ""Хмільники""",81,0.488542880955057,0.503937599267078
2332,"104",1,21,"Панчішна фабрика",83,0.503937599267078,0.564839781406768
2333,"104",1,22,"вул. Героїв Десантників",84,0.564839781406768,0.58725414308454
2334,"104",1,23,"вул. Романа Шухевича",87,0.58725414308454,0.599747001949104
2335,"104",1,24,"вул. Миру",88,0.599747001949104,0.611842610136401
2336,"104",1,25,"Житичі",89,0.611842610136401,0.634312050021511
2337,"104",1,26,"вул. Офіцерська",91,0.634312050021511,0.664833994979972
